  dataset        a v_pure_gain t0_pure_gain      st0 v_pure_mixed t0_pure_mixed v_pure_loss t0_pure_loss  penalty      fit     time   method
       54   2.5484   2.3364   0.6801   0.4919   1.2795   0.6760   1.4124   0.6044   0.0000  98.7601   1.3230       ML
       55   1.8399   3.3707   0.8495   0.3470   1.1881   0.6963   3.4220   0.6915   0.0000   4.8896   1.0290       ML
       56   1.5598   1.7230   0.5421   0.4541   0.2858   0.3763   0.5429   0.3108   0.0000 123.5305   1.1060       ML
       57   1.4716   2.5499   0.5683   0.2961   0.5130   0.5738   1.4751   0.7386   0.0000  50.1917   0.7680       ML
       58   1.5680   1.7904   0.7609   0.3903   0.8469   1.0309   0.6926   0.7389   0.0000 102.6145   1.0590       ML
        6   1.7748   0.6845   0.3910   0.0000   0.5696   0.2578   0.5843   0.3140   0.0000 153.8682   0.2700       ML
       61   1.9446   1.3762   0.7855   0.0003   0.7189   0.6005   1.7415   0.6754   0.0000  95.0932   0.2780       ML
       62   1.6065   1.0806   0.5643   0.3366   0.7152   0.3650   1.5527   0.7090   0.0000 103.1165   0.8630       ML
       63   1.3078   1.5633   0.7048   0.1913   0.5892   0.7925   1.8219   0.8340   0.0000  35.2489   0.8460       ML
       64   1.5060   1.1363   1.0827   1.4791   0.7290   1.5689   0.6008   1.2316   0.0000 195.0689   3.4870       ML
       65   1.8054   1.6938   0.6834   0.3088  -0.0683   0.6046   1.1732   0.9342   0.0000 108.1553   0.4050       ML
       66   2.0360   2.1673   0.5692   0.3079   1.0645   0.5932   1.5711   0.4690   0.0000  75.6192   0.9590       ML
       67   1.2298   1.4672   0.4489   0.1196   0.2096   0.4151   0.2226   0.3939   0.0000  63.2446   0.3970       ML
       68   1.4699   0.5463   0.2087   0.0007   0.3845   0.2700   0.6089   0.2323   0.0000 122.3393   0.1930       ML
       69   1.4913   0.7745   0.4956   0.1599   0.6304   0.4504   1.9462   0.4735   0.0000  76.2235   0.4750       ML
        7   2.9371   1.1909   0.6227   0.0001   1.4621   0.7333   1.2345   0.7598   0.0000 117.1359   0.5120       ML
       70   1.8572   1.2479   0.5174   0.1405   0.8852   0.5482   0.8401   0.4781   0.0000 122.4474   0.4670       ML
       71   1.2546   3.2380   0.3969   0.1919   0.7734   0.4415   2.1870   0.4631   0.0000  -9.7909   0.6220       ML
       72   2.1337   1.0947   0.3724   0.0003   0.6870   0.1907   1.4629   0.3729   0.0000 131.9128   0.3140       ML
       74   1.9417   0.8137   0.9718   0.8680   0.3879   1.3056   0.7852   1.1560   0.0000 175.7623   1.9310       ML
       75   1.2114   2.1273   0.7643   0.4030   0.9729   0.5968   1.6545   0.6533   0.0000  42.8611   1.3710       ML
       76   1.2960   2.1844   0.3854   0.0001   0.3768   0.4513   1.1578   0.4895   0.0000  30.0180   0.2600       ML
       77   2.0748   1.3579   0.3961   0.0002   0.8536   0.3936   1.4771   0.3628   0.0000 105.1609   0.1740       ML
       78   1.7147   1.8516   0.4967   0.0001   0.4838   0.5363  -1.3497   0.5043   0.0000  83.3207   0.2580       ML
       79   1.6457   2.3390   0.6962   0.3728   1.2828   0.8197   2.3355   0.7768   0.0000  30.9599   1.0410       ML
        8   1.3625   1.1790   0.7980   0.1703   0.7656   0.7706   2.5387   0.4226   0.0000  31.7320   0.5070       ML
       81   2.1360   1.4968   0.6933   0.4222   0.8197   0.7574   1.8809   0.6271   0.0000 105.4538   1.0330       ML
       82   1.6861   0.9247   0.4701   0.1328   0.4493   0.4433   1.4077   0.4278   0.0000 111.7127   0.4080       ML
       83   1.3774   1.7223   0.4784   0.0002   0.2724   0.4183   1.0251   0.4632   0.0000  56.2228   0.2620       ML
       85   1.6543   1.7648   0.8949   0.1621   0.5119   0.5464   1.3425   0.6267   0.0000  92.5441   0.6460       ML
       86   2.2193   1.0682   0.8462   0.4331   0.8843   0.9241   0.8612   0.7810   0.0000 156.7286   1.0460       ML
       87   2.9152   1.2331   0.6412   0.2500   1.7559   0.5977   1.4497   0.6371   0.0000 109.2653   0.6990       ML
       88   2.0441   0.7772   0.8448   0.2642   0.2971   0.5950   0.9719   0.7470   0.0000 171.4802   0.7110       ML
       89   2.5015   3.2940   0.5398   0.5811   0.9412   0.5645   1.3637   0.4606   0.0000 101.1118   1.7280       ML
        9   2.1914   0.7584   0.3024   0.2488   0.8610   0.7225   1.3423   0.5298   0.0000 134.4895   0.6000       ML
       90   1.0712   1.6536   0.3637   0.1566   0.1597   0.3377   1.2506   0.5389   0.0000  21.4700   0.4950       ML
       91   1.4283   3.1044   0.7391   0.3999   1.3877   0.7858   2.7337   0.6854   0.0000   3.6815   1.1070       ML
       92   2.6492   1.7180   1.0883   0.7763   1.0783   1.3526   1.6039   0.7763   0.0000 107.5651   1.9500       ML
       93   1.4337   2.1849   0.7058   0.4026   1.7476   0.8358   1.9584   0.6740   0.0000  25.1508   0.9650       ML
       94   2.2130   1.5855   0.5339   0.0010   1.1301   0.6205   1.2181   0.4502   0.0000  96.8661   0.2270       ML
       95   1.3567   1.0382   0.5716   0.1668   0.7126   0.7270   1.6426   0.4960   0.0000  62.6824   0.5680       ML
       96   1.4206   0.2607   0.2352   0.0001   0.0000   0.3054   0.3231   0.2793   0.0000 128.9789   0.1650       ML
       97   1.5610   2.0343   0.7050   0.4945   0.2415   0.7904   1.0906   0.7335   0.0000 106.4444   1.4610       ML
       98   1.9499   1.3636   0.8611   0.5844   0.8632   1.4896   0.4783   1.7793   0.0000 132.1640   1.3110       ML
       99   0.9106   2.3015   0.7827   0.5651   1.0683   0.8634   0.8658   0.7298   0.0000  49.2671   1.5120       ML
