  dataset        a v_pure_gain       t0      szr       sv      st0 v_pure_mixed v_pure_loss  penalty      fit     time   method
       54   3.1838   3.0349   0.6880   0.7482   0.0002   0.2488   1.6395   1.9496   0.0000  96.6587  22.6240       ML
       55   1.8516   2.5379   0.7365   0.0006   0.0026   0.3902   1.2708   3.9474   0.0000  11.6254   6.7290       ML
       56   1.6933   1.9343   0.5376   0.9508   0.1567   0.5544   0.5656   0.9124   0.0000 125.1972  34.4520       ML
       57   1.6042   5.3513   0.6809   0.0002   1.5493   0.4377   0.9407   1.8353   0.0000  54.2347   8.3490       ML
       58   1.5229   3.8275   1.0197   0.7136   0.7899   0.8070   1.0575   1.2439   0.0000 113.9809  57.0000       ML
        6   1.9071   0.8971   0.4429   0.7712   0.1727   0.1962   0.8224   0.9080   0.0000 152.9515  12.1390       ML
       61   2.0078   1.2928   0.6934   0.2981   0.2860   0.1934   0.8513   1.8904   0.0000 104.7831  11.0530       ML
       62   1.7132   1.3128   0.5730   0.5597   0.6038   0.5836   1.1391   1.5017   0.0000 121.6632  38.6720       ML
       63   1.3358   1.8476   0.7647   0.0000   0.0002   0.2710   0.5604   1.5868   0.0000  44.5026   5.7370       ML
       64   1.9748   1.8896   1.1395   0.0004   1.2942   1.3548   0.8575   1.0794   0.0000 202.7305  32.7360       ML
       65   1.3602   2.1177   0.9019   0.0004   0.0005   0.7784  -0.0815   0.9762   0.0000 120.8321  12.3640       ML
       66   2.1552   2.5158   0.5611   0.0001   0.6727   0.4017   1.1715   2.1671   0.0000  77.5477   5.0580       ML
       67   1.4547   3.2347   0.5232   0.9734   2.1416   0.2139   0.2976   0.7582   0.0000  60.2205  49.7890       ML
       68   1.5688   0.9393   0.3704   1.0000   0.0828   0.2070   0.5311   1.1229   0.0000 115.6888  26.4420       ML
       69   1.5145   0.7958   0.4728   0.0021   0.4370   0.1632   0.7183   2.0495   0.0000  77.0372   9.1170       ML
        7   3.0352   1.3521   0.7506   0.4138   0.0003   0.0009   1.5576   1.2740   0.0000 119.1591   4.9730       ML
       70   2.2080   2.2058   0.5247   0.0005   1.3498   0.2082   1.3979   1.5601   0.0000 118.0232   2.8960       ML
       71   1.2975   3.7562   0.4220   0.0003   0.0044   0.2140   0.7635   1.9946   0.0000  -6.3413   6.1520       ML
       72   2.3908   1.5445   0.5476   0.9124   0.0162   0.5242   1.2081   2.2161   0.0000 131.3901  58.4810       ML
       74   2.0761   1.2947   1.1723   0.0002   0.8206   0.9940   0.4649   1.0153   0.0000 180.5257  13.1510       ML
