  dataset a_pure_gain v_pure_gain       t0      st0 a_pure_mixed v_pure_mixed a_pure_loss v_pure_loss  penalty      fit     time   method
       54   2.1601   2.0924   0.6983   0.5755   2.6696   1.3685   2.3688   1.4638   0.0000  98.4425   1.6400       ML
       55   3.5364   4.1079   0.6910   0.3282   1.8473   1.1823   1.8146   3.3677   0.0000   5.4261   1.4980       ML
       56   2.0283   1.6071   0.3759   0.4500   1.5289   0.2812   1.4871   0.5687   0.0000 128.2268   1.1180       ML
       57   1.4212   2.6090   0.5877   0.2485   1.3586   0.4886   2.0183   1.4853   0.0000  52.7496   0.6650       ML
       58   1.1568   2.6606   1.0015   0.8007   1.6832   0.8809   1.0754   0.8855   0.0000 105.4569   3.2990       ML
        6   1.8303   0.6629   0.3447   0.2307   1.5515   0.5737   1.8425   0.6294   0.0000 154.4821   0.5570       ML
       61   2.6840   1.5676   0.6485   0.0002   1.7734   0.6972   2.0009   1.7034   0.0000  97.8915   0.2680       ML
       62   1.6483   1.0136   0.5045   0.4954   1.4144   0.7884   2.2404   1.5260   0.0000 114.3964   1.2510       ML
       63   1.2247   1.7091   0.7627   0.2587   1.2306   0.5197   1.8275   2.1028   0.0000  37.8777   0.7870       ML
       64   1.2693   1.2131   1.1798   1.3580   1.9909   0.5769   1.6373   0.5868   0.0000 197.7284   3.3930       ML
       65   1.6669   1.6680   0.7233   0.3818   1.3177  -0.0621   2.0609   1.0092   0.0000 112.2049   1.0970       ML
       66   2.4198   2.3125   0.5158   0.3098   2.1363   1.0126   1.9457   1.6118   0.0000  77.6429   0.8720       ML
       67   1.4295   1.5569   0.4170   0.1227   1.2067   0.2064   1.1315   0.2184   0.0000  62.5613   0.4210       ML
       68   1.3888   0.5358   0.2282   0.0002   1.5871   0.3870   1.4909   0.6126   0.0000 123.3716   0.2150       ML
       69   1.6309   0.8137   0.4732   0.1583   1.3353   0.5959   1.5311   1.9937   0.0000  74.3090   0.4260       ML
        7   2.6835   1.1543   0.6901   0.0004   2.9201   1.3893   3.4770   1.3799   0.0000 117.2690   0.1590       ML
       70   2.0016   1.3312   0.5110   0.1687   1.7834   0.8036   1.8368   0.8662   0.0000 122.8034   0.4260       ML
       71   0.9516   3.2005   0.4384   0.2199   1.2766   0.7810   1.4360   2.2947   0.0000 -10.5485   0.6520       ML
       72   1.8825   0.9754   0.3723   0.4475   2.0445   0.7873   2.5029   1.7175   0.0000 134.2149   0.9900       ML
       74   1.6970   0.8151   1.0752   0.7145   2.3768   0.3845   1.9853   0.7335   0.0000 175.6447   1.3940       ML
       75   1.5750   1.9621   0.6549   0.3875   0.9105   0.9810   1.3896   1.8510   0.0000  38.9014   1.0040       ML
       76   1.0892   2.3568   0.4515   0.1624   1.3586   0.3964   1.3401   1.0813   0.0000  37.5321   0.5210       ML
       77   2.1482   1.3677   0.3765   0.0002   2.0541   0.8283   2.0929   1.5197   0.0000 105.4809   0.1780       ML
       78   1.6858   1.8714   0.5093   0.0008   1.8376   0.5009   1.5888  -1.2642   0.0000  82.8808   0.1680       ML
       79   1.4627   2.2830   0.7290   0.3329   1.8327   1.2039   1.9817   2.4764   0.0000  32.5137   0.8420       ML
        8   1.8724   1.1747   0.6165   0.4474   1.5352   0.6366   0.8479   3.6638   0.0000  58.3191   1.1430       ML
       81   1.9812   1.3927   0.6885   0.4772   2.3223   0.8332   2.0392   1.9959   0.0000 106.0396   1.2210       ML
       82   1.8980   1.0053   0.4458   0.1471   1.5278   0.4099   1.6815   1.4518   0.0000 109.3670   0.3890       ML
       83   1.7658   2.0229   0.4434   0.0406   1.2492   0.2625   1.3973   0.9897   0.0000  54.5867   0.2090       ML
       85   1.0779   1.8696   0.9510   0.9101   1.2209   0.7825   1.2147   1.9976   0.0000 103.4892   1.8980       ML
