  dataset        a v_pure_gain t0_pure_gain v_pure_mixed t0_pure_mixed v_pure_loss t0_pure_loss  penalty      fit     time   method
       58   1.7947   1.5481   0.6302   0.7980   0.9070   0.6402   0.6168   0.0000 107.4836   0.0110       ML
        6   1.7757   0.6844   0.3909   0.5693   0.2578   0.5847   0.3137   0.0000 153.8681   0.0110       ML
       61   1.9446   1.3761   0.7854   0.7171   0.6003   1.7418   0.6753   0.0000  95.0932   0.0100       ML
       62   1.7987   1.0109   0.4687   0.6851   0.2614   1.4074   0.6031   0.0000 107.3267   0.0130       ML
       63   1.4157   1.4486   0.6475   0.5980   0.7703   1.6512   0.7699   0.0000  38.4979   0.0120       ML
       64   2.2439   0.8453   0.5607   0.4873   0.9093   0.4157   0.5576   0.0000 200.0500   0.0100       ML
       65   1.7987   1.3984   0.5828  -0.0647   0.5784   0.8647   0.7209   0.0000 118.3210   0.0140       ML
       66   2.3067   2.0220   0.4698   1.0510   0.4885   1.5648   0.3832   0.0000  78.9932   0.0110       ML
       67   1.2766   1.3710   0.4125   0.2134   0.4082   0.2159   0.3691   0.0000  64.2180   0.0140       ML
       68   1.4700   0.5458   0.2088   0.3854   0.2700   0.6093   0.2322   0.0000 122.3392   0.0100       ML
       69   1.5892   0.7569   0.4456   0.6318   0.4219   1.8227   0.4257   0.0000  79.3820   0.0130       ML
        7   2.9387   1.1913   0.6221   1.4640   0.7332   1.2354   0.7603   0.0000 117.1357   0.0120       ML
       70   1.9045   1.2122   0.4799   0.8934   0.5385   0.8377   0.4566   0.0000 122.9407   0.0100       ML
       71   1.4231   2.6722   0.3312   0.7713   0.3896   1.9997   0.4000   0.0000  -4.1542   0.0130       ML
       72   2.1346   1.0944   0.3721   0.6876   0.1904   1.4652   0.3729   0.0000 131.9127   0.0100       ML
       74   2.3189   0.7576   0.7545   0.3274   0.9020   0.6771   0.8648   0.0000 183.3282   0.0120       ML
       75   1.4875   1.5875   0.6015   0.8228   0.4749   1.5370   0.5315   0.0000  43.4432   0.0130       ML
       76   1.2958   2.1842   0.3855   0.3769   0.4513   1.1578   0.4895   0.0000  30.0180   0.0150       ML
       77   2.0745   1.3574   0.3961   0.8532   0.3933   1.4771   0.3630   0.0000 105.1608   0.0090       ML
       78   1.7151   1.8500   0.4967   0.4845   0.5362  -1.3501   0.5043   0.0000  83.3206   0.0110       ML
       79   2.0685   2.1513   0.5718   1.1763   0.6451   2.1697   0.6506   0.0000  36.8804   0.0120       ML
        8   1.4819   1.1705   0.7564   0.7029   0.7055   2.4416   0.3879   0.0000  34.0530   0.0130       ML
       81   2.3035   1.5007   0.6453   0.7891   0.6422   1.6566   0.4984   0.0000 105.2689   0.0090       ML
       82   1.7293   0.9097   0.4409   0.4527   0.4333   1.3740   0.4012   0.0000 112.1481   0.0110       ML
       83   1.3775   1.7225   0.4785   0.2727   0.4182   1.0245   0.4631   0.0000  56.2228   0.0130       ML
       85   1.7244   1.6656   0.8583   0.5038   0.5023   1.3455   0.6059   0.0000  93.2953   0.0130       ML
       86   2.3860   0.9756   0.7011   0.8543   0.8145   0.8635   0.7103   0.0000 158.8226   0.0110       ML
       87   3.0473   1.2416   0.5959   1.7289   0.5485   1.4504   0.5941   0.0000 109.2992   0.0120       ML
       88   2.1207   0.7457   0.7724   0.2996   0.5670   0.9514   0.6943   0.0000 172.0851   0.0110       ML
       89   2.8158   2.3461   0.3155   0.9237   0.4048   1.3507   0.3392   0.0000 103.3441   0.0100       ML
        9   2.2378   0.7737   0.3017   0.8247   0.6605   1.3043   0.4875   0.0000 134.1554   0.0090       ML
       90   1.2094   1.4584   0.3086   0.1492   0.2811   1.2104   0.4908   0.0000  28.9915   0.0120       ML
       91   1.8627   2.2456   0.5617   1.3065   0.6349   2.3404   0.5466   0.0000  12.2287   0.0120       ML
       92   3.5345   1.6950   0.8230   1.0837   0.9938   1.4487   0.4077   0.0000 114.4102   0.0100       ML
       93   1.8594   1.8662   0.5477   1.5593   0.6897   1.6855   0.5073   0.0000  36.7769   0.0110       ML
       94   2.2122   1.5857   0.5344   1.1304   0.6206   1.2181   0.4502   0.0000  96.8659   0.0110       ML
       95   1.4452   0.9925   0.5309   0.6651   0.6610   1.6700   0.4803   0.0000  64.7095   0.0140       ML
       96   1.4204   0.2605   0.2352  -0.0001   0.3054   0.3224   0.2794   0.0000 128.9789   0.0100       ML
       97   1.8336   1.7334   0.5617   0.2079   0.5898   1.0053   0.5861   0.0000 110.1395   0.0100       ML
       98   2.2539   1.2117   0.6578   0.7554   1.2330   0.4835   1.6785   0.0000 140.0056   0.0090       ML
       99   1.4754   1.5889   0.5627   0.6982   0.6054   0.5685   0.4405   0.0000  75.5185   0.0120       ML
