  dataset a_pure_gain v_pure_gain       t0      szr       sv      st0 a_pure_mixed v_pure_mixed a_pure_loss v_pure_loss  penalty      fit     time   method
       47   1.8673   1.7156   0.7047   0.0002   1.4627   0.7214   2.4585   0.9458   1.5903   2.4564   0.0000 139.6360  12.7030       ML
       48   1.7898   4.6011   0.7102   0.0001   1.6461   0.2656   2.5908   2.2128   1.9075   3.5103   0.0000   4.8924  13.4350       ML
       49   1.2107   0.1927   0.3956   0.0035   1.0311   0.0000   1.1182   1.6372   1.1372   2.0603   0.0000   3.7839   1.5090       ML
        5   1.7094   3.3239   0.7734   0.0007   0.8282   0.4899   2.5157   0.8335   2.3311   1.9949   0.0000  88.5409   9.9700       ML
       50   1.1420   0.7594   0.6573   0.6610   0.5265   0.3436   1.2151   0.8605   1.6018   1.1336   0.0000  92.9409  32.0750       ML
       51   2.2658   2.4185   0.6700   0.0011   0.6424   0.4049   2.3782   0.7579   1.6815   2.1508   0.0000  90.5682   7.1010       ML
       52   1.9508   1.5627   0.8532   0.0000   1.0679   0.5643   1.9463   1.7314   1.6730   2.0737   0.0000 109.2668  12.4040       ML
       53   2.1120   1.1332   0.5162   0.8835   0.0007   0.5029   2.2216   0.3240   1.9491   0.7813   0.0000 185.2991 131.5830       ML
       54   2.4595   2.7344   0.7618   0.7600   0.0005   0.4417   3.2225   1.7546   3.0723   2.0358   0.0000  96.2712  71.1780       ML
       55   3.6373   4.2604   0.6922   0.0003   0.3159   0.3323   1.8706   1.2307   1.8413   3.4673   0.0000   5.4058   9.7510       ML
       56   2.2246   2.2128   0.4648   0.8334   0.0004   0.4644   1.5910   0.4533   1.6542   0.8276   0.0000 126.0792  67.4690       ML
       57   1.7071   5.7232   0.6718   0.0002   1.7753   0.4072   1.3945   0.8747   2.4035   2.5658   0.0000  47.4379  14.3160       ML
       58   1.1665   2.7985   1.0032   0.0005   0.5484   0.8013   1.7382   0.9949   1.0869   0.9462   0.0000 105.3197  16.8320       ML
        6   1.9012   0.7680   0.4463   0.7729   0.0006   0.2619   1.5658   0.6956   2.0438   0.8644   0.0000 152.2895  37.7870       ML
       61   2.8781   1.7503   0.6453   0.0012   0.4540   0.0005   1.8176   0.7495   2.1050   1.8738   0.0000  97.5950   3.2850       ML
       62   1.6944   1.1015   0.5040   0.0002   0.5045   0.4958   1.4444   0.9006   2.3785   1.6875   0.0000 114.1998   9.6830       ML
       63   1.2245   1.7105   0.7628   0.0003   0.0013   0.2589   1.2306   0.5202   1.8278   2.1036   0.0000  37.8777   7.3880       ML
       64   1.3652   1.7065   1.1874   0.0007   1.2271   1.3565   2.3592   0.9457   1.8267   1.0486   0.0000 195.8845  27.1700       ML
       65   1.6669   1.6682   0.7234   0.0002   0.0039   0.3816   1.3176  -0.0622   2.0616   1.0096   0.0000 112.2049   9.4160       ML
       66   2.6539   2.8942   0.5378   0.0000   0.6861   0.3629   2.2158   1.1662   2.0738   2.0233   0.0000  76.5467   8.2150       ML
       67   2.0411   4.4391   0.5025   0.9492   3.0792   0.1703   1.6155   0.3678   1.4638   0.8636   0.0000  58.2616  42.6120       ML
       68   1.6242   0.9179   0.3740   0.9806   0.0425   0.1838   1.7110   0.5557   1.5763   1.1546   0.0000 115.0724  46.2500       ML
       69   1.6550   0.8644   0.4735   0.0030   0.4134   0.1616   1.3517   0.6428   1.5610   2.1049   0.0000  74.2310   8.6800       ML
        7   2.7524   1.2617   0.7808   0.4967   0.0004   0.0006   2.8676   1.5337   3.8084   1.6109   0.0000 117.1413   5.6950       ML
       70   2.4859   2.4055   0.5159   0.0003   1.3257   0.1931   2.1381   1.3262   2.1326   1.4802   0.0000 117.0026   4.0640       ML
       71   0.9521   3.1991   0.4383   0.0005   0.0008   0.2197   1.2770   0.7808   1.4367   2.2952   0.0000 -10.5485   9.9630       ML
       72   2.1491   1.3540   0.5525   1.0000   0.3306   0.5145   2.5916   1.3716   4.3722   3.7786   0.0000 128.1883 110.3150       ML
       74   1.7620   0.9753   1.0796   0.0002   0.5624   0.7320   2.5306   0.4589   2.0686   0.8438   0.0000 175.3085   8.5990       ML
       75   1.8638   1.8217   0.5616   0.0014   0.0004   0.1861   1.1174   0.8027   1.5401   1.6906   0.0000  40.6119   9.8080       ML
       76   1.1438   2.8336   0.4535   0.0002   0.9229   0.1698   1.4319   0.4483   1.4075   1.2313   0.0000  36.7994   6.1370       ML
       77   2.8647   2.4448   0.3673   0.0009   1.3149   0.0000   2.5798   1.5069   2.7069   2.7185   0.0000  98.6805   1.1490       ML
       78   1.8168   2.3427   0.5696   0.6492   0.4253   0.0706   1.9599   0.6568   1.6853  -1.6292   0.0000  81.6719   7.8800       ML
       79   1.4998   2.6940   0.7445   0.0006   0.7872   0.3614   1.9527   1.4481   2.1359   3.0153   0.0000  31.7278   8.2450       ML
        8   9.9838  10.1365   0.6372   0.0000   9.0978   0.4423   6.5054   4.0672   1.3521  18.7997   0.0000  50.2422  18.7430       ML
       81   2.3656   2.3233   0.7353   0.0002   1.1768   0.5640   2.8682   1.5155   2.3491   3.0788   0.0000 101.5269  19.6510       ML
       82   2.2912   1.7095   0.5241   0.6989   1.1145   0.1950   1.6375   0.7411   1.9397   2.3351   0.0000 108.7423  26.8720       ML
       83   1.7776   2.0554   0.4432   0.0001   0.2010   0.0405   1.2527   0.2642   1.4017   1.0007   0.0000  54.5813   4.9690       ML
       85   1.1030   2.8054   0.9817   0.0001   1.8642   0.9533   1.3021   1.5027   1.3389   3.1320   0.0000 102.5227  36.8760       ML
       86   2.2606   1.1334   0.8413   0.0001   0.3329   0.4360   2.4690   0.9438   2.1451   0.9368   0.0000 157.2076   7.2750       ML
       87   4.1384   1.8832   0.7897   0.7569   0.0005   0.2648   2.7068   2.1432   3.3331   1.9632   0.0000 106.8489  50.2350       ML
       88   2.4867   0.8674   0.7246   0.4455   0.0000   0.2010   1.7919   0.3066   2.3871   1.1020   0.0000 171.4655  22.6690       ML
       89   2.6672   3.2897   0.5135   0.0003   0.0042   0.5738   2.5819   0.9312   2.3931   1.3783   0.0000 101.5780  20.2020       ML
        9   1.8327   0.7060   0.3900   0.0001   0.0364   0.0000   2.8760   0.8342   3.0144   1.5789   0.0000 134.8809   1.4290       ML
       90   0.8539   1.9700   0.4306   0.5234   0.4834   0.2310   0.9135   0.2277   1.5938   1.4635   0.0000  26.3571  33.7470       ML
       91   1.6963   5.5603   0.7862   0.0002   2.0703   0.4779   1.8506   2.7897   1.3159   4.8320   0.0000   1.5021  30.9600       ML
       92   3.2480   1.6318   0.8519   0.0003   0.0006   0.8128   3.7116   1.0463   2.5366   1.6715   0.0000 114.6411  15.5900       ML
       93   1.6812   3.6220   0.7590   0.5292   1.4006   0.4617   1.8884   2.3290   1.5259   3.5269   0.0000  28.0477  47.5650       ML
       94   2.8995   2.8966   0.5734   0.0002   1.2805   0.3154   3.0849   2.0944   2.5053   2.2261   0.0000  91.0517   5.8380       ML
       95   1.2767   1.9909   0.6810   0.0000   2.6818   0.4091   2.2984   1.8800   1.1116   3.8577   0.0000  66.4499  17.5690       ML
       96   2.2449   1.1704   0.2938   0.0005   6.6622   0.1149   3.2118  -0.6373   2.7615   1.8126   0.0000 113.7955   3.9010       ML
       97   1.5580   3.1590   0.7758   0.0003   1.5091   0.5388   1.7849   0.3037   1.8252   2.0320   0.0000 104.9882  13.8930       ML
       98   1.5863   1.9528   1.3179   0.0082   0.0002   1.3567   2.3525   0.9187   2.1584   0.3518   0.0000 157.1025  25.4040       ML
       99   0.8954   2.3868   0.7714   0.0001   0.7213   0.6329   1.0568   0.9656   0.9028   1.0463   0.0000  55.1153  12.4080       ML
