  dataset        a        v       t0      st0  penalty      fit     time   method
        8   1.3862   1.2598   0.6241   0.6605   0.0000 104.4891   0.5590       ML
       81   2.1265   1.2365   0.6489   0.4302   0.0000 119.8476   0.3660       ML
       82   1.6605   0.9032   0.4448   0.1363   0.0000 118.6796   0.1780       ML
       83   1.3394   0.9627   0.4560   0.0813   0.0000  68.8687   0.1330       ML
       85   1.1870   1.3981   0.9459   0.9013   0.0000 109.3610   0.7850       ML
       86   2.2342   0.9220   0.8356   0.4310   0.0000 158.7922   0.4470       ML
       87   2.8933   1.4197   0.6167   0.2605   0.0000 113.0550   0.2640       ML
       88   2.0935   0.6508   0.6637   0.1904   0.0000 182.5262   0.2390       ML
       89   2.6232   1.2614   0.3262   0.0003   0.0000 125.2753   0.0790       ML
        9   2.0836   0.9951   0.5644   0.7005   0.0000 151.4108   0.6350       ML
       90   1.1082   0.8967   0.3866   0.2489   0.0000  53.4027   0.2630       ML
       91   1.4891   1.9879   0.6853   0.3489   0.0000  20.6503   0.3840       ML
       92   3.0548   1.3134   0.8081   0.8153   0.0000 128.2598   0.7630       ML
       93   1.4705   1.9060   0.7173   0.4599   0.0000  35.5564   0.4660       ML
       94   2.1829   1.2964   0.5440   0.2454   0.0000 102.6626   0.2430       ML
       95   1.3947   1.0177   0.5677   0.2835   0.0000  91.0271   0.2920       ML
       96   1.4421   0.1727   0.2611   0.0611   0.0000 133.4717   0.1120       ML
       97   1.5152   0.9423   0.7314   0.5007   0.0000 125.5003   0.4590       ML
       98   1.1584   1.4868   1.8145   2.2897   0.0000 173.9431   1.5620       ML
       99   1.2286   1.4357   0.7138   0.4618   0.0000  61.2184   0.3770       ML
