  dataset        a v_pure_gain       t0      st0 v_pure_mixed v_pure_loss  penalty      fit     time   method
       65   1.3603   2.1182   0.9019   0.7785  -0.0815   0.9762   0.0000 120.8321   1.4890       ML
       66   2.0422   2.0930   0.5459   0.3758   1.0088   1.7629   0.0000  78.6256   0.6930       ML
       67   1.2214   1.3584   0.4220   0.1417   0.2117   0.2381   0.0000  65.9400   0.3140       ML
       68   1.4957   0.5723   0.2244   0.0001   0.3622   0.6097   0.0000 124.8024   0.1440       ML
       69   1.4914   0.7449   0.4721   0.1595   0.6601   1.9396   0.0000  77.1300   0.3460       ML
        7   3.0004   1.2787   0.6801   0.0005   1.4124   1.1815   0.0000 119.2888   0.2770       ML
       70   1.8562   1.2436   0.5152   0.1726   0.8410   0.8797   0.0000 123.5694   0.3420       ML
       71   1.2975   3.7558   0.4219   0.2139   0.7635   1.9941   0.0000  -6.3413   0.5010       ML
       72   2.0296   1.0614   0.3877   0.4642   0.7945   1.4454   0.0000 136.6857   0.8340       ML
       74   2.0073   0.9316   1.0836   0.8103   0.3342   0.7494   0.0000 181.0267   1.1990       ML
       75   1.2950   1.5375   0.6239   0.3558   1.0977   1.6407   0.0000  51.5855   0.6450       ML
       76   1.3088   2.6929   0.4439   0.1787   0.3767   1.0402   0.0000  39.9092   0.3950       ML
       77   2.0899   1.3335   0.3781   0.0003   0.8444   1.5210   0.0000 105.5851   0.1070       ML
       78   1.7364   1.9019   0.5035   0.0003   0.4694  -1.3643   0.0000  84.1781   0.1320       ML
       79   1.7807   2.6436   0.7211   0.3421   1.1582   2.2156   0.0000  34.8546   0.6460       ML
        8   1.5918   0.9958   0.5927   0.5075   0.6359   4.6863   0.0000  70.8379   1.0630       ML
       81   2.2037   1.4847   0.6661   0.4621   0.7763   2.0633   0.0000 107.0128   0.7480       ML
       82   1.6958   0.8940   0.4416   0.1334   0.4505   1.4528   0.0000 112.4173   0.2780       ML
       83   1.3774   1.6187   0.4527   0.0799   0.2959   0.9986   0.0000  60.7265   0.2420       ML
       85   1.2094   1.8184   0.9417   0.8918   0.7655   1.9527   0.0000 103.8531   1.6660       ML
       86   2.2338   1.0655   0.8387   0.4387   0.8231   0.9141   0.0000 158.2149   0.6470       ML
       87   2.9148   1.2210   0.6289   0.2898   1.8242   1.4382   0.0000 109.4510   0.5370       ML
       88   2.1211   0.6704   0.6602   0.1903   0.3315   0.9190   0.0000 178.9879   0.3680       ML
       89   2.4922   3.1449   0.5212   0.5760   0.9065   1.4404   0.0000 101.8219   0.9760       ML
        9   2.1142   0.9552   0.5625   0.6997   0.7347   1.3700   0.0000 147.7983   1.1190       ML
       90   1.1259   1.8716   0.3868   0.2486   0.1922   0.9004   0.0000  46.4718   0.4590       ML
       91   1.4595   3.1681   0.7369   0.4341   1.2880   3.2460   0.0000   5.8944   0.7760       ML
       92   3.3869   1.5998   0.7881   0.7872   0.9225   2.0104   0.0000 116.6488   1.3800       ML
       93   1.5068   2.3156   0.7124   0.4484   1.4126   2.2359   0.0000  31.6135   0.7540       ML
       94   2.2106   1.6025   0.5427   0.2428   1.0338   1.3672   0.0000  99.9026   0.4350       ML
       95   1.4183   1.0855   0.5721   0.2817   0.5747   2.0619   0.0000  81.4698   0.5250       ML
       96   1.4449   0.2782   0.2609   0.0609  -0.0004   0.3146   0.0000 132.6710   0.1730       ML
       97   1.5895   2.1865   0.7326   0.4957   0.2256   1.1050   0.0000 107.7462   0.8800       ML
       98   1.9311   2.4057   1.4353   1.6534   0.9299   0.3734   0.0000 160.0153   2.4860       ML
       99   1.2652   1.8630   0.6388   0.3119   0.5915   0.6044   0.0000  56.7968   1.3500       ML
