  dataset a_pure_gain v_pure_gain       t0 a_pure_mixed v_pure_mixed a_pure_loss v_pure_loss  penalty      fit     time   method
       58   1.8893   1.6391   0.6333   2.3761   0.7576   1.6563   0.6076   0.0000 116.8456   0.0110       ML
        6   1.9647   0.6592   0.2879   1.6205   0.5447   1.9399   0.6192   0.0000 155.8390   0.0090       ML
       61   2.6846   1.5684   0.6486   1.7732   0.6977   2.0004   1.7026   0.0000  97.8915   0.0120       ML
       62   2.1366   0.9323   0.2997   1.6798   0.6759   3.0190   1.5295   0.0000 126.7275   0.0100       ML
       63   1.4437   1.5266   0.6606   1.4846   0.4762   2.3060   2.1039   0.0000  47.9621   0.0090       ML
       64   2.0429   0.7919   0.5852   2.7778   0.4705   2.2645   0.4292   0.0000 206.9220   0.0090       ML
       65   1.8552   1.4849   0.5997   1.5313  -0.0573   2.3408   0.9662   0.0000 116.4873   0.0110       ML
       66   2.9774   2.3599   0.4094   2.3835   0.9912   2.2180   1.5624   0.0000  80.4657   0.0100       ML
       67   1.5235   1.5289   0.3867   1.2897   0.2034   1.1767   0.2084   0.0000  64.1047   0.0100       ML
       68   1.3884   0.5363   0.2282   1.5870   0.3874   1.4910   0.6132   0.0000 123.3716   0.0110       ML
       69   1.7291   0.8000   0.4278   1.4371   0.5782   1.6785   1.9352   0.0000  77.2691   0.0100       ML
        7   2.6832   1.1542   0.6901   2.9206   1.3894   3.4765   1.3798   0.0000 117.2690   0.0090       ML
       70   2.1047   1.3253   0.4721   1.8789   0.7953   1.9029   0.8542   0.0000 124.0849   0.0100       ML
       71   1.2977   2.5766   0.3445   1.4988   0.7341   1.8862   2.2653   0.0000  -0.3280   0.0100       ML
       72   2.2477   0.9526   0.2272   2.1683   0.7232   3.0386   1.7260   0.0000 138.2355   0.0090       ML
       74   2.0683   0.7105   0.8012   2.6987   0.3556   2.3951   0.6595   0.0000 183.3242   0.0080       ML
       75   2.0989   1.8210   0.5071   1.2139   0.7346   1.7209   1.6854   0.0000  41.7217   0.0110       ML
       76   1.1873   2.1416   0.4033   1.4651   0.3833   1.4957   1.0573   0.0000  39.9231   0.0140       ML
       77   2.1482   1.3676   0.3765   2.0543   0.8282   2.0934   1.5200   0.0000 105.4809   0.0100       ML
       78   1.6864   1.8720   0.5092   1.8383   0.5013   1.5889  -1.2637   0.0000  82.8808   0.0110       ML
       79   1.9168   2.0895   0.5930   2.1459   1.1309   2.7136   2.5389   0.0000  37.9246   0.0100       ML
        8   2.4525   1.1154   0.4066   1.9596   0.5464   1.3453   2.3689   0.0000  73.6142   0.0110       ML
       81   2.5007   1.3902   0.5307   2.5997   0.8060   2.2699   1.7122   0.0000 110.5991   0.0100       ML
       82   1.9685   0.9972   0.4134   1.6027   0.4053   1.7483   1.4208   0.0000 110.5463   0.0100       ML
       83   1.7929   2.0311   0.4386   1.2562   0.2613   1.4135   0.9894   0.0000  54.6088   0.0100       ML
       85   2.4295   1.2645   0.5261   1.7590   0.5296   2.0194   1.3705   0.0000 119.9432   0.0110       ML
       86   2.3693   0.9900   0.7222   2.6398   0.8700   2.2958   0.8403   0.0000 159.7790   0.0080       ML
       87   3.2880   1.3241   0.5817   2.7432   1.6202   3.0316   1.4255   0.0000 108.7539   0.0100       ML
       88   2.5153   0.7705   0.6284   1.8471   0.2793   2.4535   1.0272   0.0000 172.9536   0.0090       ML
       89   2.6685   2.3184   0.3400   2.9380   0.9161   2.8081   1.3480   0.0000 104.1501   0.0130       ML
        9   1.8329   0.7054   0.3899   2.8729   0.8335   3.0134   1.5766   0.0000 134.8807   0.0080       ML
       90   1.2279   1.4094   0.2955   1.1336   0.1461   1.8311   1.1554   0.0000  45.1717   0.0110       ML
       91   2.4099   2.7941   0.5452   2.0001   1.2003   1.8574   2.3246   0.0000  13.4974   0.0110       ML
       92   5.2345   1.7701   0.4053   4.8376   1.0528   4.3128   1.7643   0.0000 125.9882   0.0140       ML
       93   2.0910   2.0296   0.5314   2.2562   1.4165   1.7552   1.6704   0.0000  45.7836   0.0100       ML
       94   2.4619   1.6242   0.4769   2.5186   1.0912   2.2095   1.2574   0.0000 101.3637   0.0100       ML
       95   1.4389   0.9389   0.5103   1.9085   0.6879   1.2300   1.5578   0.0000  71.5619   0.0130       ML
       96   1.3701   0.2613   0.2552   1.6143   0.0001   1.3856   0.2975   0.0000 130.1489   0.0110       ML
       97   1.7300   1.6912   0.5777   1.8315   0.2042   1.9081   1.0337   0.0000 110.1864   0.0110       ML
       98   2.6025   1.3976   0.6568   3.5642   0.7864   3.0523   0.2826   0.0000 175.5379   0.0110       ML
       99   1.8158   1.4923   0.4545   1.7465   0.6153   1.5128   0.5981   0.0000  94.7047   0.0110       ML
