  dataset        a v_pure_gain t0_pure_gain      szr       sv      st0 v_pure_mixed t0_pure_mixed v_pure_loss t0_pure_loss  penalty      fit     time   method
       47   2.0712   2.2329   0.7843   0.6993   1.6508   0.6013   1.1498   0.9368   2.6193   0.6067   0.0000 135.5856 8091.3970       ML
       48   1.7817   4.2725   0.6954   0.0000   1.5147   0.2384   2.2955   0.8751   3.0650   0.6924   0.0000  -4.4487   8.6010       ML
       49   1.1584   0.1801   0.4005   0.0000   1.0009   0.0000   1.7070   0.3972   2.0322   0.3901   0.0000   3.8570   2.0240       ML
        5   2.0849   3.3886   0.7158   0.0004   0.8607   0.4670   0.9068   0.9973   1.9949   0.8295   0.0000  83.5627  11.3020       ML
       50   1.3088   0.8555   0.6111   0.7011   0.0009   0.3661   0.9119   0.6584   1.1118   0.7386   0.0000  95.5508  33.3270       ML
       51   2.0477   1.8261   0.6035   0.0000   0.2828   0.2200   0.6824   0.7981   1.9098   0.5541   0.0000  88.6757   7.6280       ML
       52   1.8510   1.6057   0.8879   0.0003   1.1275   0.5719   1.7951   0.8925   2.1343   0.8186   0.0000 108.9467  12.5830       ML
       53   2.1387   0.9892   0.3743   0.8073   0.0006   0.3018   0.2999   0.4599   0.8206   0.4902   0.0000 184.2979  42.6040       ML
       54   3.2515   3.1937   0.7207   0.7465   0.0010   0.1207   1.6219   0.6461   1.8774   0.6224   0.0000  94.9603  17.6890       ML
       55   1.8530   3.4304   0.8509   0.0001   0.2477   0.3495   1.2186   0.6975   3.4817   0.6926   0.0000   4.8819   6.9420       ML
       56   1.6266   1.6752   0.5353   0.5235   0.0000   0.3227   0.3882   0.4237   0.6103   0.3211   0.0000 118.4240  36.6040       ML
       57   1.5736   5.1049   0.6604   0.0001   1.6761   0.4251   0.8672   0.6389   2.4139   0.8037   0.0000  45.5136  24.7190       ML
       58   1.6382   2.1311   0.8077   0.6614   0.2632   0.3775   0.9881   1.0883   0.8251   0.8040   0.0000 102.3332  35.4090       ML
        6   1.8532   0.7702   0.4764   0.6672   0.0005   0.0000   0.6742   0.3219   0.7265   0.3815   0.0000 151.9172   4.1880       ML
       61   2.0659   1.6762   0.8208   0.4482   0.5758   0.0000   0.8719   0.6455   2.1024   0.7092   0.0000  95.3202   3.6580       ML
       62   1.6546   1.1929   0.5641   0.0015   0.5511   0.3416   0.8307   0.3659   1.7079   0.7109   0.0000 102.8415   7.8440       ML
       63   1.3381   1.6891   0.7358   0.6061   0.0001   0.1940   0.7772   0.8429   2.0749   0.8668   0.0000  35.3964  17.1480       ML
       64   1.8356   2.3309   1.1319   0.0001   2.1153   1.4524   1.4979   1.5783   1.5203   1.2341   0.0000 192.7954  31.4800       ML
       65   1.6613   1.6531   0.6899   0.2196   0.4994   0.2975  -0.0874   0.6274   1.1659   0.9310   0.0000 105.1345  24.6950       ML
       66   2.1198   2.4889   0.5805   0.0001   0.5432   0.3265   1.1752   0.5946   1.8148   0.4799   0.0000  74.9599   6.6490       ML
       67   1.3098   1.9189   0.4730   0.4883   0.9737   0.0515   0.1311   0.4371   0.2177   0.3983   0.0000  61.2519   6.3550       ML
       68   1.6089   0.8109   0.2736   0.7994   0.0002   0.0000   0.5300   0.3402   0.8896   0.2872   0.0000 116.5136   3.5130       ML
       69   1.5202   0.8379   0.4956   0.0002   0.4778   0.1645   0.6921   0.4495   2.0856   0.4757   0.0000  76.1011   7.1180       ML
        7   2.9592   1.2554   0.6803   0.3635   0.0000   0.0000   1.5712   0.7862   1.3049   0.8177   0.0000 117.1422   6.8750       ML
       70   2.2252   2.3057   0.5358   0.0008   1.4148   0.1912   1.5254   0.5579   1.4930   0.4874   0.0000 116.6354   4.7200       ML
       71   1.2993   3.5455   0.4079   0.5084   0.0001   0.1753   0.8815   0.4631   2.3693   0.4756   0.0000  -9.9466  14.8490       ML
       72   2.6627   1.5598   0.5445   0.9638   0.0102   0.0000   1.1513   0.3243   2.2489   0.5010   0.0000 122.4773   6.9960       ML
       74   2.0405   1.0067   0.9843   0.0006   0.6253   0.8858   0.4728   1.3095   0.9285   1.1609   0.0000 175.4182  16.2850       ML
       75   1.4565   1.7453   0.6442   0.3546   0.0000   0.1063   0.8896   0.5055   1.5682   0.5582   0.0000  42.9428  21.6880       ML
       76   1.3225   2.3278   0.3853   0.1138   0.4499   0.0000   0.4133   0.4515   1.1956   0.4880   0.0000  29.9865   4.0820       ML
       77   2.6371   2.3500   0.3901   0.0005   1.2984   0.0000   1.5608   0.3761   2.6099   0.3620   0.0000  98.6764   1.2740       ML
       78   2.0719   3.0042   0.5953   0.8927   0.8930   0.1000   0.8975   0.6415  -2.3204   0.6101   0.0000  80.2143  24.9920       ML
       79   1.7432   2.7877   0.7058   0.0004   0.8237   0.3852   1.5360   0.8247   2.8338   0.7888   0.0000  30.0578   8.7410       ML
        8   1.5812   2.2154   0.8149   0.0005   1.8002   0.2133   1.1371   0.7801   4.0967   0.4502   0.0000  28.0003   7.5400       ML
       81   2.5681   2.6273   0.7607   0.0003   1.2863   0.5728   1.5931   0.8308   3.1883   0.7017   0.0000 100.8661  15.1890       ML
       82   1.8785   1.4434   0.5422   0.6623   1.0198   0.1669   0.7762   0.5215   2.1212   0.4926   0.0000 111.1442  16.8130       ML
       83   1.4704   2.1542   0.5123   0.6409   0.6289   0.0000   0.3074   0.4572   1.3275   0.5072   0.0000  55.4679   4.8310       ML
       85   1.6546   1.7648   0.8948   0.0000   0.0035   0.1619   0.5116   0.5463   1.3424   0.6266   0.0000  92.5441  11.5910       ML
       86   2.2732   1.1556   0.8496   0.0000   0.3491   0.4451   0.9489   0.9253   0.9376   0.7820   0.0000 156.5833   8.3170       ML
       87   3.1927   1.4920   0.7813   0.6787   0.0001   0.2396   2.2865   0.7248   1.8624   0.7844   0.0000 107.8104  39.4470       ML
       88   2.2318   1.1218   1.0596   0.9262   0.0674   0.3485   0.3864   0.8127   1.2203   0.9352   0.0000 165.5944  40.7290       ML
       89   2.4902   3.3282   0.5453   0.0001   0.0007   0.5855   0.9420   0.5673   1.3630   0.4633   0.0000 101.1164  23.5980       ML
        9   2.8863   1.4066   0.5060   1.0000   0.8685   0.0000   1.5014   0.7897   2.2395   0.6291   0.0000 130.0327   9.0640       ML
       90   1.1249   2.1505   0.4070   0.6847   0.2281   0.1386   0.1724   0.3635   1.4451   0.5572   0.0000  17.3261  30.8090       ML
       91   1.6712   6.0755   0.7870   0.0001   2.6427   0.4758   3.5001   0.8570   5.7899   0.7695   0.0000   0.3266  11.1780       ML
       92   2.6499   1.7179   1.0881   0.0005   0.0002   0.7764   1.0787   1.3526   1.6042   0.7763   0.0000 107.5651  19.8450       ML
       93   1.8365   4.4434   0.7714   0.8042   1.9572   0.4168   3.3541   0.9001   4.3249   0.7477   0.0000  22.5722 111.0170       ML
       94   2.7270   2.7989   0.5834   0.0001   1.2880   0.2904   2.1441   0.6613   2.2330   0.5288   0.0000  89.4367   7.0070       ML
       95   1.4279   1.3305   0.5965   0.3815   1.1084   0.1694   1.0169   0.7903   2.1607   0.5146   0.0000  57.5133  24.4830       ML
       96   2.5880   1.2374   0.2618   0.0001   6.4005   0.0871  -0.5483   0.3192   1.6588   0.3071   0.0000 112.4043   4.2500       ML
       97   1.7158   2.9308   0.7391   0.0002   1.2585   0.5211   0.2946   0.7957   1.7448   0.7524   0.0000 104.9832  10.5970       ML
       98   1.9506   1.3633   0.8606   0.0003   0.0012   0.5834   0.8622   1.4887   0.4785   1.7790   0.0000 132.1640   9.5860       ML
       99   0.9073   2.3629   0.7712   0.0176   0.4046   0.5030   1.0967   0.8566   0.8260   0.7366   0.0000  44.5589  10.2510       ML
