  dataset        a        v       t0      st0  penalty      fit     time   method
        8   1.7080   0.1229   0.6888   0.3618   0.0000 128.7345   0.2100       ML
       81   1.9495   0.0218   0.5233   0.0002   0.0000 145.3655   0.1130       ML
       82   1.7676  -0.0486   0.3890   0.2152   0.0000 125.9947   0.1260       ML
       83   1.8917   0.2533   0.5076   0.0007   0.0000 131.7238   0.1310       ML
       85   1.2675  -0.0330   0.3981   0.0467   0.0000  64.5576   0.0630       ML
       86   2.0612   0.1163   0.7425   0.4896   0.0000 143.4583   0.3030       ML
       87   1.8328   0.3354   0.3249   0.0004   0.0000 114.7709   0.0460       ML
       88   2.1759  -0.0113   0.5877   0.3584   0.0000 144.3275   0.2000       ML
       89   2.2289   0.0702   0.3086   0.0008   0.0000 136.8114   0.0600       ML
        9   1.7313  -0.0130   0.3591   0.0927   0.0000 117.1190   0.0870       ML
       90   0.7425  -0.0002   0.3310   0.0513   0.0000 -33.7372   0.0580       ML
       91   1.6168   0.1036   0.6328   0.3399   0.0000 119.0473   0.2040       ML
       92   1.8798   0.0385   0.9126   0.9031   0.0000 136.6638   0.4930       ML
       93   1.1847   0.1019   0.3149   0.0002   0.0000  55.1884   0.0410       ML
       94   0.6715   0.0847   1.9414   2.7283   0.0000 121.4850   1.1610       ML
       95   1.5998   0.1252   0.2528   0.0001   0.0000 113.7177   0.0450       ML
       96   1.5269  -0.0139   0.5487   0.2952   0.0000 106.5341   0.1990       ML
       97   1.6573   0.2333   0.6186   0.0003   0.0000 109.8507   0.0510       ML
       98   0.7531   0.0454   2.3875   1.8313   0.0000  82.0172   0.6410       ML
       99   1.3709   0.2440   0.8018   0.5185   0.0000 101.3075   0.3090       ML
