  dataset a_mixed_gain v_mixed_gain       t0 a_mixed_loss v_mixed_loss  penalty      fit     time   method
       70   2.2319   0.0911   0.3677   1.8168  -0.1249   0.0000 130.5596   0.0050       ML
       71   1.5612   0.3942   0.4731   1.4452   0.4226   0.0000  85.3751   0.0040       ML
       72   1.4165  -0.0002   0.3094   1.6569   0.0763   0.0000  97.1766   0.0040       ML
       74   2.1064   0.0197   0.6002   2.1602   0.0454   0.0000 152.7668   0.0050       ML
       75   1.3103  -0.0650   0.4411   2.1117   0.0833   0.0000 108.7219   0.0040       ML
       76   1.4360   0.0616   0.2988   0.8294   0.0000   0.0000  25.3401   0.0050       ML
       77   2.0622  -0.0412   0.2283   1.9264   0.0688   0.0000 143.5257   0.0040       ML
       78   1.3644   0.2024   0.3701   1.0052  -0.0004   0.0000  39.9267   0.0050       ML
       79   2.1557   0.0668   0.4734   1.9607   0.2482   0.0000 146.0764   0.0050       ML
        8   1.5394   0.0003   0.5926   2.1622   0.2090   0.0000 122.9191   0.0050       ML
       81   1.9647   0.0457   0.5242   1.9347   0.0000   0.0000 145.3232   0.0050       ML
       82   2.0432   0.0442   0.3666   1.5560  -0.1651   0.0000 120.6248   0.0040       ML
       83   1.7737   0.3842   0.5098   2.0035   0.1488   0.0000 129.8753   0.0040       ML
       85   1.1259   0.0003   0.3994   1.4152  -0.0611   0.0000  60.4991   0.0050       ML
       86   1.8257   0.0926   0.6682   2.5571   0.1388   0.0000 136.8152   0.0050       ML
       87   2.4795   0.5497   0.3851   1.2128   0.1491   0.0000  87.4293   0.0040       ML
       88   2.6432   0.0713   0.5453   1.9497  -0.0900   0.0000 139.2516   0.0030       ML
       89   2.8727   0.1481   0.3836   1.6844   0.0002   0.0000 122.5684   0.0030       ML
        9   1.7174   0.0507   0.3481   1.7825  -0.0760   0.0000 116.8985   0.0030       ML
       90   0.8579   0.0004   0.3181   0.7004  -0.0002   0.0000 -34.8938   0.0040       ML
       91   1.7797   0.0504   0.5316   1.7519   0.1411   0.0000 121.3967   0.0040       ML
       92   2.3203   0.0724   0.5242   2.3633   0.0004   0.0000 146.9357   0.0040       ML
       93   1.3654   0.1776   0.3254   0.9580   0.0009   0.0000  44.5374   0.0050       ML
       94   2.3382  -0.1321   0.5212   2.7859   0.1558   0.0000 135.0048   0.0030       ML
       95   0.8175   0.1040   0.3304   2.1177   0.1734   0.0000  60.2926   0.0050       ML
       96   1.6759  -0.0577   0.4531   1.6822   0.0249   0.0000 109.6280   0.0050       ML
       97   1.7960   0.2884   0.6292   1.4783   0.1722   0.0000 106.8985   0.0040       ML
       98   2.2846   0.1046   1.4224   2.1995  -0.0588   0.0000 101.1420   0.0020       ML
       99   1.5980   0.1146   0.6082   1.7249   0.2926   0.0000 106.4070   0.0050       ML
