  dataset a_mixed_gain v_mixed_gain       t0      szr       sv      st0 a_mixed_loss v_mixed_loss  penalty      fit     time   method
       54   2.1914   0.2457   0.5746   0.0002   0.4309   0.3849   1.4971  -0.0085   0.0000 128.9192   3.6600       ML
       55   0.9452  -0.0519   0.7435   0.9633   0.2357   0.4666   1.2209   0.6079   0.0000  65.5560  14.5860       ML
       56   2.1843   0.0339   0.3445   0.0000   3.8230   0.0053   1.0638  -0.4386   0.0000  27.0166   0.8640       ML
       57   1.3720   0.0239   0.4201   0.7816   0.0001   0.0000   1.5602   0.0041   0.0000  78.5096   3.0170       ML
       58   2.0348  -0.0471   0.3314   0.0008   0.6277   0.2939   1.6223   0.2627   0.0000 123.1736   2.7840       ML
        6   1.8111   0.2638   0.2928   0.6633   0.9959   0.0979   1.9574  -0.3236   0.0000 108.5010   5.3950       ML
       61   1.7834   0.1352   0.8345   0.3041   0.7604   0.4547   1.7417   0.2470   0.0000 124.1658  10.1020       ML
       62   2.1627   0.0273   0.3377   0.0004   1.1621   0.0000   1.7929   0.1242   0.0000 121.3713   1.6550       ML
       63   1.5834   0.0553   0.6800   0.0004   0.0016   0.6073   1.4809   0.1647   0.0000 116.2371   9.1350       ML
       64   1.7042   0.0530   0.3606   0.0006   0.4221   0.3021   2.8633   0.1272   0.0000 141.2696   4.1900       ML
       65   1.0307   0.0974   0.6826   0.9546   0.2640   0.3406   1.6904   0.4041   0.0000  79.0394  14.6160       ML
       66   1.8442   0.0986   0.4060   0.4360   0.1762   0.0000   1.9237  -0.1074   0.0000 133.2072   2.7940       ML
       67   1.4348   0.3911   0.4863   0.9073   0.0000   0.1290   1.2164  -0.2144   0.0000  62.4610  12.3340       ML
       68   2.3298   0.5450   0.4177   0.0004   0.9444   0.1423   2.4484   0.2005   0.0000 146.1580   1.7250       ML
       69   2.0250   2.6084   0.3718   0.0011  12.7878   0.0822  10.0000   0.6194   0.0000  65.6315   2.6290       ML
        7   2.0126  -0.2923   1.0379   0.9998   0.0746   0.6049   2.0137  -0.0315   0.0000 124.9719  23.6510       ML
       70   2.3049   0.1134   0.4754   0.6490   0.0011   0.1411   1.8453  -0.1763   0.0000 130.3173   8.3490       ML
       71   1.5450   0.5978   0.5912   0.7396   0.0000   0.2059   1.3981   0.5960   0.0000  83.4299  11.2020       ML
       72   1.6473  -0.1409   0.3631   0.7214   1.6038   0.0000   2.1052   0.1391   0.0000  95.9776   1.9310       ML
       74   1.7978   0.0399   1.1268   0.7900   0.4087   0.9902   1.5172   0.0975   0.0000 138.7024  40.6910       ML
       75   1.1938  -0.0633   0.5022   0.0002   0.2564   0.2002   2.0441   0.0884   0.0000 106.5879   3.2120       ML
       76   1.3985   0.0172   0.3672   0.4224   0.9174   0.1087   0.6521   0.1134   0.0000  13.4024   6.8500       ML
       77   2.1354  -0.0436   0.3047   0.5745   0.0022   0.0001   1.9512   0.0956   0.0000 143.0591   2.0040       ML
       78   5.5098   1.2644   0.5225   1.0000  28.6925   0.2933   1.9706   0.2112   0.0000  24.7076  46.7730       ML
       79   1.9938   0.0697   0.5744   0.0000   0.1752   0.3680   1.8679   0.2666   0.0000 144.3807  12.1420       ML
