"participant","a","v_mixed_gain","t0","szr","sv","st0","v_mixed_loss","penalty","fit","time","method","n_trials","BIC","model_variant","v","t0_mixed_gain","t0_mixed_loss","a_mixed_gain","a_mixed_loss"
83,1.8915,NA,0.5075,NA,NA,NA,NA,0,131.7238,0.002,"ML",94,277.07748434681,"model10",0.2535,NA,NA,NA,NA
85,1.2801,NA,0.3924,NA,NA,NA,NA,0,64.6118,0.003,"ML",96,142.916644574404,"model10",-0.0331,NA,NA,NA,NA
86,2.1759,NA,0.6313,NA,NA,NA,NA,0,143.5806,0.002,"ML",84,300.45365039653,"model10",0.1112,NA,NA,NA,NA
87,1.8329,NA,0.3248,NA,NA,NA,NA,0,114.7709,0.003,"ML",86,242.904841888761,"model10",0.3358,NA,NA,NA,NA
88,2.258,NA,0.513,NA,NA,NA,NA,0,144.82,0.002,"ML",81,302.823347464017,"model10",-0.0108,NA,NA,NA,NA
89,2.2289,NA,0.3089,NA,NA,NA,NA,0,136.8114,0.002,"ML",76,286.615000020859,"model10",0.0703,NA,NA,NA,NA
9,1.7473,NA,0.3483,NA,NA,NA,NA,0,117.1421,0.003,"ML",91,247.816778519551,"model10",-0.0128,NA,NA,NA,NA
90,0.7898,NA,0.3171,NA,NA,NA,NA,0,-31.7582,0.003,"ML",96,-49.8233554255965,"model10",-2e-04,NA,NA,NA,NA
91,1.7649,NA,0.5312,NA,NA,NA,NA,0,121.4925,0.002,"ML",96,256.678044574404,"model10",0.0977,NA,NA,NA,NA
92,2.3422,NA,0.525,NA,NA,NA,NA,0,147.0262,0.003,"ML",83,307.30892182339,"model10",0.0332,NA,NA,NA,NA
93,1.1848,NA,0.3149,NA,NA,NA,NA,0,55.1884,0.002,"ML",96,124.069844574404,"model10",0.1018,NA,NA,NA,NA
94,2.5573,NA,0.5078,NA,NA,NA,NA,0,137.5797,0.002,"ML",70,287.904885726148,"model10",0.0237,NA,NA,NA,NA
95,1.5994,NA,0.2529,NA,NA,NA,NA,0,113.7177,0.003,"ML",96,241.128444574403,"model10",0.1245,NA,NA,NA,NA
96,1.679,NA,0.4532,NA,NA,NA,NA,0,109.6817,0.002,"ML",95,233.025030674802,"model10",-0.0128,NA,NA,NA,NA
97,1.6573,NA,0.6187,NA,NA,NA,NA,0,109.8507,0.003,"ML",94,233.33128434681,"model10",0.2326,NA,NA,NA,NA
98,2.235,NA,1.4217,NA,NA,NA,NA,0,101.4351,0.001,"ML",59,215.102812331717,"model10",0.0157,NA,NA,NA,NA
99,1.6609,NA,0.6095,NA,NA,NA,NA,0,107.0432,0.002,"ML",96,227.779444574403,"model10",0.2106,NA,NA,NA,NA
1,1.2559,NA,0.2488,NA,NA,0.0428,NA,0,59.6719,0.066,"ML",95,137.559307566402,"model11",0.2195,NA,NA,NA,NA
10,1.5407,NA,0.5478,NA,NA,2e-04,NA,0,95.884,0.052,"ML",86,209.585389185014,"model11",-3e-04,NA,NA,NA,NA
100,1.8963,NA,0.3023,NA,NA,0.5488,NA,0,147.2412,0.278,"ML",92,312.569554308196,"model11",0.046,NA,NA,NA,NA
101,1.6776,NA,0.79,NA,NA,0.4491,NA,0,128.9679,0.287,"ML",95,276.151307566402,"model11",0.0878,NA,NA,NA,NA
102,1.6041,NA,1.2988,NA,NA,1.2253,NA,0,123.3209,0.525,"ML",77,264.017021687415,"model11",-0.0485,NA,NA,NA,NA
103,1.6405,NA,0.4297,NA,NA,0.3399,NA,0,122.1168,0.208,"ML",96,262.490992765871,"model11",0.0257,NA,NA,NA,NA
104,1.9293,NA,0.2991,NA,NA,0.001,NA,0,136.5483,0.042,"ML",89,291.051145478929,"model11",0.0344,NA,NA,NA,NA
105,2.174,NA,0.3713,NA,NA,3e-04,NA,0,143.678,0.081,"ML",84,305.079267195373,"model11",0.1328,NA,NA,NA,NA
11,1.5913,NA,0.3982,NA,NA,0.2501,NA,0,110.9769,0.202,"ML",96,240.211192765871,"model11",3e-04,NA,NA,NA,NA
12,1.0093,NA,0.4051,NA,NA,0.1355,NA,0,29.1232,0.133,"ML",96,76.5037927658713,"model11",0.165,NA,NA,NA,NA
13,1.1078,NA,0.3363,NA,NA,0.0464,NA,0,36.8381,0.062,"ML",96,91.9335927658713,"model11",0.3764,NA,NA,NA,NA
14,1.0454,NA,0.4778,NA,NA,0.2565,NA,0,47.5107,0.17,"ML",96,113.278792765871,"model11",0.0401,NA,NA,NA,NA
15,1.2495,NA,0.5071,NA,NA,0.3077,NA,0,71.3685,0.197,"ML",96,160.994392765871,"model11",0.4085,NA,NA,NA,NA
17,1.6196,NA,0.4385,NA,NA,0.4229,NA,0,119.3873,0.261,"ML",96,257.031992765871,"model11",0.2608,NA,NA,NA,NA
18,1.7938,NA,0.8396,NA,NA,1.1549,NA,0,157.9871,0.677,"ML",95,334.189707566402,"model11",0.25,NA,NA,NA,NA
19,1.3498,NA,0.3998,NA,NA,0.2033,NA,0,79.6152,0.135,"ML",96,177.487792765871,"model11",0.1556,NA,NA,NA,NA
2,1.8478,NA,0.2534,NA,NA,4e-04,NA,0,136.7458,0.049,"ML",95,291.707107566402,"model11",0.0119,NA,NA,NA,NA
20,1.7373,NA,1.0432,NA,NA,1.025,NA,0,146.1715,0.555,"ML",91,310.386438026067,"model11",0.0882,NA,NA,NA,NA
21,1.96,NA,0.6423,NA,NA,0.5878,NA,0,153.86,0.381,"ML",94,325.89317912908,"model11",0.0875,NA,NA,NA,NA
22,1.4005,NA,0.4103,NA,NA,0.1811,NA,0,85.4262,0.156,"ML",93,188.982797972613,"model11",0.0458,NA,NA,NA,NA
23,1.6239,NA,0.4622,NA,NA,0.372,NA,0,117.7792,0.206,"ML",94,253.73157912908,"model11",0.0527,NA,NA,NA,NA
24,1.6128,NA,0.4188,NA,NA,0.2821,NA,0,114.4748,0.177,"ML",94,247.12277912908,"model11",0.0262,NA,NA,NA,NA
25,1.3834,NA,0.2972,NA,NA,0.0911,NA,0,80.431,0.089,"ML",95,179.077507566402,"model11",0.1378,NA,NA,NA,NA
26,2.0759,NA,0.2636,NA,NA,4e-04,NA,0,155.9266,0.058,"ML",94,330.02637912908,"model11",0.1218,NA,NA,NA,NA
27,1.2151,NA,0.5472,NA,NA,0.6575,NA,0,95.0533,0.376,"ML",96,208.363992765871,"model11",0.2758,NA,NA,NA,NA
28,1.3756,NA,0.2813,NA,NA,0,NA,0,82.5744,0.044,"ML",96,183.406192765871,"model11",0.2049,NA,NA,NA,NA
29,1.95,NA,0.7919,NA,NA,0.5801,NA,0,144.3441,0.317,"ML",91,306.731638026067,"model11",0.2645,NA,NA,NA,NA
3,2.0038,NA,0.5389,NA,NA,0.3873,NA,0,148.2805,0.225,"ML",91,314.604438026067,"model11",-0.011,NA,NA,NA,NA
30,1.0899,NA,0.3935,NA,NA,0.3739,NA,0,64.8048,0.205,"ML",96,147.866992765871,"model11",0.0377,NA,NA,NA,NA
31,1.1144,NA,0.2774,NA,NA,1e-04,NA,0,39.3127,0.053,"ML",96,96.8827927658713,"model11",0.0745,NA,NA,NA,NA
32,0.8802,NA,0.6598,NA,NA,0.6419,NA,0,55.4988,0.401,"ML",96,129.254992765871,"model11",-2e-04,NA,NA,NA,NA
33,1.3438,NA,0.9225,NA,NA,1.1673,NA,0,127.1502,0.555,"ML",92,272.387554308196,"model11",0.1623,NA,NA,NA,NA
34,0.9701,NA,1.4134,NA,NA,1.7585,NA,0,139.5586,0.849,"ML",96,297.374592765871,"model11",0.1293,NA,NA,NA,NA
35,2.1951,NA,1.049,NA,NA,0.3379,NA,0,161.7789,0.171,"ML",93,341.688197972613,"model11",-0.0637,NA,NA,NA,NA
36,1.2516,NA,1.0559,NA,NA,1.4037,NA,0,134.8267,0.911,"ML",96,287.910792765871,"model11",0.2339,NA,NA,NA,NA
38,1.4028,NA,0.4705,NA,NA,0.3449,NA,0,94.681,0.196,"ML",96,207.619392765871,"model11",0.2392,NA,NA,NA,NA
39,1.3346,NA,0.315,NA,NA,0.0773,NA,0,71.8273,0.074,"ML",96,161.911992765871,"model11",0.2848,NA,NA,NA,NA
40,1.5687,NA,0.2267,NA,NA,2e-04,NA,0,108.792,0.052,"ML",96,235.841392765871,"model11",-0.0259,NA,NA,NA,NA
41,1.8882,NA,0.4961,NA,NA,2e-04,NA,0,137.836,0.062,"ML",93,293.802397972613,"model11",0.1001,NA,NA,NA,NA
42,1.5141,NA,0.4793,NA,NA,0.2758,NA,0,98.2621,0.18,"ML",92,214.611354308196,"model11",0.0285,NA,NA,NA,NA
44,1.3724,NA,0.2466,NA,NA,3e-04,NA,0,78.8319,0.051,"ML",96,175.921192765871,"model11",0.0602,NA,NA,NA,NA
45,1.3019,NA,0.2636,NA,NA,2e-04,NA,0,66.4049,0.057,"ML",96,151.067192765871,"model11",0.1301,NA,NA,NA,NA
46,1.3766,NA,0.7592,NA,NA,0.9584,NA,0,126.8731,0.471,"ML",96,272.003592765871,"model11",0.0601,NA,NA,NA,NA
47,1.9044,NA,0.4461,NA,NA,0.3307,NA,0,136.8104,0.194,"ML",93,291.751197972613,"model11",0.2655,NA,NA,NA,NA
48,1.698,NA,0.5356,NA,NA,0.0011,NA,0,117.1026,0.062,"ML",94,252.37837912908,"model11",0.0263,NA,NA,NA,NA
49,1.3444,NA,0.3739,NA,NA,1e-04,NA,0,73.5171,0.047,"ML",96,165.291592765871,"model11",0.2166,NA,NA,NA,NA
5,1.5665,NA,0.4472,NA,NA,0.0011,NA,0,101.7662,0.061,"ML",94,221.70557912908,"model11",1e-04,NA,NA,NA,NA
50,1.4615,NA,0.454,NA,NA,0.2187,NA,0,96.6592,0.139,"ML",95,211.533907566402,"model11",-0.0143,NA,NA,NA,NA
51,1.7403,NA,0.372,NA,NA,6e-04,NA,0,122.5857,0.065,"ML",95,263.386907566402,"model11",0.0606,NA,NA,NA,NA
52,0.9175,NA,1.6161,NA,NA,2.3199,NA,0,150.6611,1.15,"ML",90,319.321438681321,"model11",0.3415,NA,NA,NA,NA
53,1.8701,NA,0.2988,NA,NA,5e-04,NA,0,130.9864,0.056,"ML",91,280.016238026067,"model11",-0.1285,NA,NA,NA,NA
54,1.7506,NA,0.602,NA,NA,0.5646,NA,0,137.8156,0.353,"ML",94,293.80437912908,"model11",0.1214,NA,NA,NA,NA
55,1.1057,NA,0.6661,NA,NA,0.4363,NA,0,69.3659,0.28,"ML",96,156.989192765871,"model11",0.2644,NA,NA,NA,NA
56,1.1739,NA,0.3264,NA,NA,0,NA,0,51.0236,0.048,"ML",94,120.22037912908,"model11",-0.0705,NA,NA,NA,NA
57,1.3746,NA,0.3595,NA,NA,7e-04,NA,0,83.0286,0.045,"ML",96,184.314592765871,"model11",0.0011,NA,NA,NA,NA
58,1.6924,NA,0.3577,NA,NA,0.4023,NA,0,126.6862,0.235,"ML",94,271.54557912908,"model11",0.0758,NA,NA,NA,NA
6,1.6934,NA,0.2161,NA,NA,0.0014,NA,0,109.7886,0.048,"ML",89,237.531745478929,"model11",-0.0652,NA,NA,NA,NA
60,1.4041,NA,0.2474,NA,NA,2e-04,NA,0,13.7938,0.007,"ML",15,38.4198008044088,"model11",0.2717,NA,NA,NA,NA
61,1.6671,NA,0.8037,NA,NA,0.6173,NA,0,128.7957,0.385,"ML",96,275.848792765871,"model11",0.1768,NA,NA,NA,NA
62,1.7266,NA,0.3411,NA,NA,3e-04,NA,0,122.7018,0.067,"ML",96,263.660992765871,"model11",0.0241,NA,NA,NA,NA
63,1.519,NA,0.6871,NA,NA,0.6283,NA,0,116.5901,0.365,"ML",96,251.437592765871,"model11",0.1107,NA,NA,NA,NA
64,2.2683,NA,0.235,NA,NA,0.001,NA,0,154.7199,0.093,"ML",85,327.210405025961,"model11",0.0725,NA,NA,NA,NA
65,1.3946,NA,0.5286,NA,NA,0.2089,NA,0,88.6702,0.139,"ML",96,195.597792765871,"model11",0.1792,NA,NA,NA,NA
66,1.8558,NA,0.3613,NA,NA,8e-04,NA,0,133.8428,0.093,"ML",94,285.85877912908,"model11",-8e-04,NA,NA,NA,NA
67,1.2814,NA,0.3898,NA,NA,2e-04,NA,0,66.1032,0.048,"ML",96,150.463792765871,"model11",0.097,NA,NA,NA,NA
68,2.1019,NA,0.4362,NA,NA,0.1575,NA,0,146.5434,0.121,"ML",90,311.086038681321,"model11",0.2583,NA,NA,NA,NA
69,1.5278,NA,0.2731,NA,NA,0.0011,NA,0,98.8332,0.055,"ML",94,215.83957912908,"model11",0.1093,NA,NA,NA,NA
7,1.9176,NA,0.8038,NA,NA,0.5221,NA,0,128.5815,0.294,"ML",80,274.691106538696,"model11",-0.0777,NA,NA,NA,NA
70,2.0289,NA,0.3524,NA,NA,9e-04,NA,0,134.0413,0.045,"ML",83,285.757962431186,"model11",-0.0114,NA,NA,NA,NA
71,1.2383,NA,0.6451,NA,NA,0.5016,NA,0,84.5594,0.307,"ML",96,187.376192765871,"model11",0.4832,NA,NA,NA,NA
72,1.5455,NA,0.3069,NA,NA,5e-04,NA,0,99.2007,0.047,"ML",93,216.531797972613,"model11",0.0412,NA,NA,NA,NA
74,1.6355,NA,0.998,NA,NA,0.9384,NA,0,139.7401,0.575,"ML",95,297.695707566402,"model11",0.0388,NA,NA,NA,NA
75,1.7298,NA,0.4246,NA,NA,0.098,NA,0,124.6403,0.088,"ML",96,267.537992765871,"model11",0.0239,NA,NA,NA,NA
76,1.1089,NA,0.3116,NA,NA,0.0997,NA,0,43.7931,0.094,"ML",96,105.843592765871,"model11",0.0369,NA,NA,NA,NA
77,1.9992,NA,0.2263,NA,NA,8e-04,NA,0,144.039,0.046,"ML",91,306.121438026067,"model11",0.0107,NA,NA,NA,NA
78,1.0915,NA,0.409,NA,NA,0.1504,NA,0,42.8736,0.13,"ML",96,104.004592765871,"model11",0.1151,NA,NA,NA,NA
79,1.9033,NA,0.5846,NA,NA,0.407,NA,0,145.0729,0.256,"ML",95,308.361307566402,"model11",0.1678,NA,NA,NA,NA
8,1.708,NA,0.6888,NA,NA,0.3618,NA,0,128.7345,0.21,"ML",96,275.726392765871,"model11",0.1229,NA,NA,NA,NA
81,1.9495,NA,0.5233,NA,NA,2e-04,NA,0,145.3655,0.113,"ML",96,308.988392765871,"model11",0.0218,NA,NA,NA,NA
82,1.7676,NA,0.389,NA,NA,0.2152,NA,0,125.9947,0.126,"ML",92,270.076554308196,"model11",-0.0486,NA,NA,NA,NA
83,1.8917,NA,0.5076,NA,NA,7e-04,NA,0,131.7238,0.131,"ML",94,281.62077912908,"model11",0.2533,NA,NA,NA,NA
85,1.2675,NA,0.3981,NA,NA,0.0467,NA,0,64.5576,0.063,"ML",96,147.372592765871,"model11",-0.033,NA,NA,NA,NA
86,2.0612,NA,0.7425,NA,NA,0.4896,NA,0,143.4583,0.303,"ML",84,304.639867195373,"model11",0.1163,NA,NA,NA,NA
87,1.8328,NA,0.3249,NA,NA,4e-04,NA,0,114.7709,0.046,"ML",86,247.359189185014,"model11",0.3354,NA,NA,NA,NA
88,2.1759,NA,0.5877,NA,NA,0.3584,NA,0,144.3275,0.2,"ML",81,306.23279661869,"model11",-0.0113,NA,NA,NA,NA
89,2.2289,NA,0.3086,NA,NA,8e-04,NA,0,136.8114,0.06,"ML",76,290.945733361145,"model11",0.0702,NA,NA,NA,NA
9,1.7313,NA,0.3591,NA,NA,0.0927,NA,0,117.119,0.087,"ML",91,252.281438026067,"model11",-0.013,NA,NA,NA,NA
90,0.7425,NA,0.331,NA,NA,0.0513,NA,0,-33.7372,0.058,"ML",96,-49.2170072341287,"model11",-2e-04,NA,NA,NA,NA
91,1.6168,NA,0.6328,NA,NA,0.3399,NA,0,119.0473,0.204,"ML",96,256.351992765871,"model11",0.1036,NA,NA,NA,NA
92,1.8798,NA,0.9126,NA,NA,0.9031,NA,0,136.6638,0.493,"ML",83,291.002962431186,"model11",0.0385,NA,NA,NA,NA
93,1.1847,NA,0.3149,NA,NA,2e-04,NA,0,55.1884,0.041,"ML",96,128.634192765871,"model11",0.1019,NA,NA,NA,NA
94,0.6715,NA,1.9414,NA,NA,2.7283,NA,0,121.485,1.161,"ML",70,259.963980968197,"model11",0.0847,NA,NA,NA,NA
95,1.5998,NA,0.2528,NA,NA,1e-04,NA,0,113.7177,0.045,"ML",96,245.692792765871,"model11",0.1252,NA,NA,NA,NA
96,1.5269,NA,0.5487,NA,NA,0.2952,NA,0,106.5341,0.199,"ML",95,231.283707566402,"model11",-0.0139,NA,NA,NA,NA
97,1.6573,NA,0.6186,NA,NA,3e-04,NA,0,109.8507,0.051,"ML",94,237.87457912908,"model11",0.2333,NA,NA,NA,NA
98,0.7531,NA,2.3875,NA,NA,1.8313,NA,0,82.0172,0.641,"ML",59,180.344549775623,"model11",0.0454,NA,NA,NA,NA
99,1.3709,NA,0.8018,NA,NA,0.5185,NA,0,101.3075,0.309,"ML",96,220.872392765871,"model11",0.244,NA,NA,NA,NA
1,1.2563,0.2562,0.2487,NA,NA,0.0426,0.1486,0,59.6241,0.1,"ML",95,142.017584458003,"model2",NA,NA,NA,NA,NA
10,1.5406,-2e-04,0.5478,NA,NA,4e-04,4e-04,0,95.8841,0.068,"ML",86,214.039936481268,"model2",NA,NA,NA,NA,NA
100,1.897,0.098,0.3018,NA,NA,0.5482,0,0,147.1433,0.482,"ML",92,316.895542885245,"model2",NA,NA,NA,NA,NA
101,1.6796,0.1894,0.7898,NA,NA,0.4493,2e-04,0,128.671,0.425,"ML",95,280.111384458003,"model2",NA,NA,NA,NA,NA
102,1.6051,-0.1395,1.299,NA,NA,1.2254,0.0301,0,123.1438,0.885,"ML",77,268.006627109268,"model2",NA,NA,NA,NA,NA
103,1.6405,0,0.4296,NA,NA,0.34,0.0563,0,122.0905,0.481,"ML",96,267.002740957339,"model2",NA,NA,NA,NA,NA
104,1.9283,-0.0026,0.2994,NA,NA,5e-04,0.0602,0,136.5129,0.087,"ML",89,295.468981848661,"model2",NA,NA,NA,NA,NA
105,2.1788,0.23,0.3706,NA,NA,0.0012,0.0236,0,143.154,0.158,"ML",84,308.462083994217,"model2",NA,NA,NA,NA,NA
11,1.591,-3e-04,0.3982,NA,NA,0.2503,5e-04,0,110.9769,0.257,"ML",96,244.775540957339,"model2",NA,NA,NA,NA,NA
12,1.0097,0.0974,0.405,NA,NA,0.1355,0.2146,0,29.0826,0.159,"ML",96,80.9869409573392,"model2",NA,NA,NA,NA,NA
13,1.1134,0.6663,0.3359,NA,NA,0.0463,0.0767,0,35.5651,0.098,"ML",96,93.9519409573392,"model2",NA,NA,NA,NA,NA
14,1.0455,0.0796,0.4779,NA,NA,0.2566,-1e-04,0,47.49,0.247,"ML",96,117.801740957339,"model2",NA,NA,NA,NA,NA
15,1.2506,0.3036,0.5071,NA,NA,0.3075,0.5421,0,71.1121,0.323,"ML",96,165.045940957339,"model2",NA,NA,NA,NA,NA
17,1.6231,0.3559,0.4378,NA,NA,0.4232,0.1269,0,118.9908,0.376,"ML",96,260.803340957339,"model2",NA,NA,NA,NA,NA
18,1.7938,0.2056,0.8398,NA,NA,1.1533,0.3273,0,157.86,0.977,"ML",95,338.489384458003,"model2",NA,NA,NA,NA,NA
19,1.3497,0.1481,0.3999,NA,NA,0.2033,0.161,0,79.6143,0.215,"ML",96,182.050340957339,"model2",NA,NA,NA,NA,NA
2,1.8471,-0.0013,0.2536,NA,NA,0.0012,0.0249,0,136.7391,0.073,"ML",95,296.247584458003,"model2",NA,NA,NA,NA,NA
20,1.7377,0.1232,1.043,NA,NA,1.0246,0.0515,0,146.1275,0.792,"ML",91,314.809297532584,"model2",NA,NA,NA,NA,NA
21,1.9601,0.0963,0.6422,NA,NA,0.5881,0.0762,0,153.8557,0.539,"ML",94,330.42787391135,"model2",NA,NA,NA,NA,NA
22,1.4029,0.1857,0.4101,NA,NA,0.1811,-0.0912,0,84.9875,0.231,"ML",93,192.637997465766,"model2",NA,NA,NA,NA,NA
23,1.6238,0.0692,0.4623,NA,NA,0.3719,0.0316,0,117.7684,0.319,"ML",94,258.25327391135,"model2",NA,NA,NA,NA,NA
24,1.6137,-0.0295,0.4186,NA,NA,0.2818,0.0718,0,114.397,0.257,"ML",94,251.51047391135,"model2",NA,NA,NA,NA,NA
25,1.3839,0.183,0.2971,NA,NA,0.0911,0.0734,0,80.3643,0.146,"ML",95,183.497984458003,"model2",NA,NA,NA,NA,NA
26,2.0756,0.1176,0.2635,NA,NA,2e-04,0.1233,0,155.9263,0.071,"ML",94,334.56907391135,"model2",NA,NA,NA,NA,NA
27,1.2153,0.1666,0.5478,NA,NA,0.6576,0.4566,0,94.7074,0.466,"ML",96,212.236540957339,"model2",NA,NA,NA,NA,NA
28,1.3773,2e-04,0.281,NA,NA,1e-04,0.2544,0,82.3387,0.053,"ML",96,187.499140957339,"model2",NA,NA,NA,NA,NA
29,1.9526,0.3377,0.7917,NA,NA,0.581,0.1776,0,144.0742,0.485,"ML",91,310.702697532584,"model2",NA,NA,NA,NA,NA
3,2.0044,0.0203,0.539,NA,NA,0.3872,-0.0488,0,148.227,0.331,"ML",91,319.008297532584,"model2",NA,NA,NA,NA,NA
30,1.0902,-4e-04,0.3934,NA,NA,0.3739,0.0641,0,64.7905,0.322,"ML",96,152.402740957339,"model2",NA,NA,NA,NA,NA
31,1.1144,0.0998,0.2774,NA,NA,1e-04,-1e-04,0,39.2843,0.056,"ML",96,101.390340957339,"model2",NA,NA,NA,NA,NA
32,0.8801,1e-04,0.6598,NA,NA,0.6418,3e-04,0,55.4988,0.586,"ML",96,133.819340957339,"model2",NA,NA,NA,NA,NA
33,1.3449,0.2477,0.922,NA,NA,1.1657,0.1068,0,127.0524,0.714,"ML",92,276.713742885245,"model2",NA,NA,NA,NA,NA
34,0.9705,0.0776,1.4132,NA,NA,1.7581,0.1935,0,139.5213,1.313,"ML",96,301.864340957339,"model2",NA,NA,NA,NA,NA
35,1.5124,0.0254,1.5602,NA,NA,1.5963,0.1946,0,145.3003,1.385,"ML",93,313.263597465766,"model2",NA,NA,NA,NA,NA
36,1.2514,0.238,1.056,NA,NA,1.404,0.2284,0,134.8262,1.222,"ML",96,292.474140957339,"model2",NA,NA,NA,NA,NA
38,1.404,0.322,0.4704,NA,NA,0.3451,0.136,0,94.4799,0.334,"ML",96,211.781540957339,"model2",NA,NA,NA,NA,NA
39,1.3344,0.3241,0.315,NA,NA,0.0775,0.2284,0,71.7802,0.142,"ML",96,166.382140957339,"model2",NA,NA,NA,NA,NA
40,1.5703,0.0836,0.2265,NA,NA,1e-04,-0.0744,0,108.6302,0.076,"ML",96,240.082140957339,"model2",NA,NA,NA,NA,NA
41,1.8892,0.1419,0.496,NA,NA,5e-04,0.0502,0,137.7482,0.086,"ML",93,298.159397465766,"model2",NA,NA,NA,NA,NA
42,1.5141,0.0641,0.4794,NA,NA,0.2759,0,0,98.235,0.275,"ML",92,219.078942885245,"model2",NA,NA,NA,NA,NA
44,1.3725,0.0977,0.2467,NA,NA,0,-7e-04,0,78.7807,0.094,"ML",96,180.383140957339,"model2",NA,NA,NA,NA,NA
45,1.3018,0.1419,0.2636,NA,NA,3e-04,0.119,0,66.4023,0.086,"ML",96,155.626340957339,"model2",NA,NA,NA,NA,NA
46,1.3764,0.0528,0.7592,NA,NA,0.9584,0.0709,0,126.8712,0.904,"ML",96,276.564140957339,"model2",NA,NA,NA,NA,NA
47,1.9059,0.1926,0.4461,NA,NA,0.3311,0.3513,0,136.5515,0.303,"ML",93,295.765997465766,"model2",NA,NA,NA,NA,NA
48,1.7014,-0.0908,0.5354,NA,NA,2e-04,0.1676,0,116.5426,0.091,"ML",94,255.80167391135,"model2",NA,NA,NA,NA,NA
49,1.3445,0.2352,0.3738,NA,NA,1e-04,0.1983,0,73.5094,0.072,"ML",96,169.840540957339,"model2",NA,NA,NA,NA,NA
5,1.5662,-0.0212,0.4474,NA,NA,3e-04,0.0365,0,101.7432,0.088,"ML",94,226.20287391135,"model2",NA,NA,NA,NA,NA
50,1.4623,0.048,0.454,NA,NA,0.219,-0.1086,0,96.5107,0.247,"ML",95,215.790784458003,"model2",NA,NA,NA,NA,NA
51,1.7415,0.1403,0.372,NA,NA,0.001,-0.0234,0,122.3433,0.078,"ML",95,267.455984458003,"model2",NA,NA,NA,NA,NA
52,0.9164,0.4385,1.6167,NA,NA,2.3209,0.2452,0,150.5754,1.253,"ML",90,323.649848351651,"model2",NA,NA,NA,NA,NA
53,1.8709,-0.069,0.2986,NA,NA,2e-04,-0.1592,0,130.9136,0.064,"ML",91,284.381497532584,"model2",NA,NA,NA,NA,NA
54,1.7531,0.1956,0.6017,NA,NA,0.5652,2e-04,0,137.493,0.461,"ML",94,297.70247391135,"model2",NA,NA,NA,NA,NA
55,1.1104,1e-04,0.6652,NA,NA,0.4357,0.4653,0,68.591,0.377,"ML",96,160.003740957339,"model2",NA,NA,NA,NA,NA
56,1.1742,-0.099,0.3264,NA,NA,1e-04,-8e-04,0,50.9904,0.061,"ML",94,124.69727391135,"model2",NA,NA,NA,NA,NA
57,1.3743,-4e-04,0.3595,NA,NA,1e-04,5e-04,0,83.0285,0.064,"ML",96,188.878740957339,"model2",NA,NA,NA,NA,NA
58,1.6994,-0.069,0.356,NA,NA,0.3992,0.2527,0,125.829,0.363,"ML",94,274.37447391135,"model2",NA,NA,NA,NA,NA
6,1.6989,0.1113,0.2157,NA,NA,5e-04,-0.227,0,108.8708,0.076,"ML",89,240.184781848661,"model2",NA,NA,NA,NA,NA
61,1.6684,0.0965,0.8037,NA,NA,0.6172,0.2656,0,128.5616,0.548,"ML",96,279.944940957339,"model2",NA,NA,NA,NA,NA
62,1.7271,4e-04,0.341,NA,NA,5e-04,0.0492,0,122.6806,0.101,"ML",96,268.182940957339,"model2",NA,NA,NA,NA,NA
63,1.5238,0.0481,0.7007,NA,NA,0.4754,0.1404,0,109.8417,0.572,"ML",96,242.505140957339,"model2",NA,NA,NA,NA,NA
64,2.2686,0.0579,0.2349,NA,NA,6e-04,0.0804,0,154.7138,0.198,"ML",85,331.640856282452,"model2",NA,NA,NA,NA,NA
65,1.3981,2e-04,0.528,NA,NA,0.2086,0.2812,0,88.2455,0.229,"ML",96,199.312740957339,"model2",NA,NA,NA,NA,NA
66,1.8583,0.0903,0.3613,NA,NA,2e-04,-0.0922,0,133.5027,0.094,"ML",94,289.72187391135,"model2",NA,NA,NA,NA,NA
67,1.2835,0.2298,0.3896,NA,NA,0,-0.0743,0,65.6524,0.059,"ML",96,154.126540957339,"model2",NA,NA,NA,NA,NA
68,2.1026,0.298,0.4361,NA,NA,0.1568,0.2111,0,146.4532,0.153,"ML",90,315.405448351651,"model2",NA,NA,NA,NA,NA
69,1.5284,0.2156,0.273,NA,NA,7e-04,0.074,0,98.7259,0.086,"ML",94,220.16827391135,"model2",NA,NA,NA,NA,NA
7,1.9197,-0.1536,0.8033,NA,NA,0.5218,1e-04,0,128.3627,0.361,"ML",80,278.635533173369,"model2",NA,NA,NA,NA,NA
70,2.033,0.0812,0.3523,NA,NA,5e-04,-0.1369,0,133.5319,0.08,"ML",83,289.158003038983,"model2",NA,NA,NA,NA,NA
71,1.2395,0.4549,0.6444,NA,NA,0.5,0.5121,0,84.5451,0.398,"ML",96,191.911940957339,"model2",NA,NA,NA,NA,NA
72,1.5454,-9e-04,0.3069,NA,NA,4e-04,0.0704,0,99.1665,0.068,"ML",93,220.995997465766,"model2",NA,NA,NA,NA,NA
74,1.6356,0.0232,0.9979,NA,NA,0.9385,0.0576,0,139.731,0.709,"ML",95,302.231384458003,"model2",NA,NA,NA,NA,NA
75,1.731,-0.0826,0.4246,NA,NA,0.0985,0.0675,0,124.4727,0.139,"ML",96,271.767140957339,"model2",NA,NA,NA,NA,NA
76,1.1091,0.0491,0.3116,NA,NA,0.0997,1e-04,0,43.7864,0.127,"ML",96,110.394540957339,"model2",NA,NA,NA,NA,NA
