  dataset        a        v       t0  penalty      fit     time   method
       90   0.7898  -0.0002   0.3171   0.0000 -31.7582   0.0030       ML
       91   1.7649   0.0977   0.5312   0.0000 121.4925   0.0020       ML
       92   2.3422   0.0332   0.5250   0.0000 147.0262   0.0030       ML
       93   1.1848   0.1018   0.3149   0.0000  55.1884   0.0020       ML
       94   2.5573   0.0237   0.5078   0.0000 137.5797   0.0020       ML
       95   1.5994   0.1245   0.2529   0.0000 113.7177   0.0030       ML
       96   1.6790  -0.0128   0.4532   0.0000 109.6817   0.0020       ML
       97   1.6573   0.2326   0.6187   0.0000 109.8507   0.0030       ML
       98   2.2350   0.0157   1.4217   0.0000 101.4351   0.0010       ML
       99   1.6609   0.2106   0.6095   0.0000 107.0432   0.0020       ML
