  dataset a_mixed_gain v_mixed_gain       t0      st0 a_mixed_loss v_mixed_loss  penalty      fit     time   method
       65   1.0794  -0.0001   0.5891   0.3607   1.4758   0.3229   0.0000  83.4291   0.4290       ML
       66   1.7984   0.0873   0.3651   0.0010   1.9192  -0.0980   0.0000 133.1842   0.1320       ML
       67   1.3321   0.2392   0.3893   0.0002   1.2315  -0.0704   0.0000  65.1371   0.0660       ML
       68   2.0734   0.2931   0.4372   0.1526   2.1367   0.2148   0.0000 146.3888   0.1810       ML
       69   0.9758   0.1728   0.3357   0.0874   1.8631   0.0966   0.0000  73.0942   0.1460       ML
        7   1.9212  -0.1542   0.8034   0.5225   1.9180   0.0003   0.0000 128.3625   0.5560       ML
       70   2.2315   0.0910   0.3678   0.0001   1.8167  -0.1254   0.0000 130.5596   0.1030       ML
       71   1.3165   0.4662   0.6360   0.4785   1.1892   0.4923   0.0000  83.9458   0.5520       ML
       72   1.4166   0.0001   0.3094   0.0001   1.6568   0.0766   0.0000  97.1766   0.0900       ML
       74   1.7073   0.0246   1.0049   0.9615   1.5297   0.0560   0.0000 139.0713   0.9180       ML
       75   1.1878  -0.0697   0.5031   0.2005   2.0217   0.0849   0.0000 106.6004   0.2480       ML
       76   1.3029   0.0630   0.3535   0.1277   0.6505  -0.0003   0.0000  16.0231   0.1940       ML
       77   2.0612  -0.0406   0.2284   0.0003   1.9271   0.0687   0.0000 143.5257   0.1010       ML
       78   1.2277   0.2102   0.4257   0.1589   0.8801   0.0001   0.0000  35.3977   0.2400       ML
       79   1.9810   0.0689   0.5757   0.3681   1.8590   0.2603   0.0000 144.3849   0.4510       ML
        8   1.2197   0.0002   0.7902   0.5076   1.9079   0.2259   0.0000 117.1833   0.5410       ML
       81   1.9648   0.0452   0.5241   0.0006   1.9347  -0.0003   0.0000 145.3232   0.1480       ML
       82   1.9758   0.0443   0.4022   0.1780   1.5129  -0.1703   0.0000 120.4208   0.2150       ML
       83   1.6732   0.3963   0.5734   0.3129   1.9526   0.1547   0.0000 129.9111   0.3300       ML
       85   1.1087   0.0002   0.4071   0.0503   1.3965  -0.0620   0.0000  60.3728   0.1040       ML
       86   1.5284   0.1116   0.9647   0.8863   2.2039   0.1522   0.0000 136.2999   0.9260       ML
       87   2.4057   0.5557   0.4310   0.1618   1.1225   0.1577   0.0000  86.1517   0.2210       ML
       88   2.5434   0.0729   0.6270   0.3324   1.8540  -0.0924   0.0000 138.3338   0.3040       ML
       89   2.8722   0.1474   0.3835   0.0003   1.6842   0.0006   0.0000 122.5684   0.0690       ML
        9   1.6901   0.0508   0.3615   0.1028   1.7701  -0.0766   0.0000 116.8217   0.1660       ML
       90   0.7929  -0.0001   0.3424   0.0754   0.6016  -0.0003   0.0000 -38.6413   0.1220       ML
       91   1.6025   0.0535   0.6342   0.3447   1.6272   0.1500   0.0000 118.9599   0.3720       ML
       92   1.7605   0.0849   0.9223   0.9293   1.9620  -0.0005   0.0000 135.9794   0.8160       ML
       93   1.3586   0.1792   0.3321   0.0449   0.9323  -0.0002   0.0000  44.2922   0.1110       ML
       94   0.1212  -1.1751   1.9729   2.7209   0.8683   0.4855   0.0000 117.0855   2.3090       ML
       95   0.7296   0.1128   0.3590   0.0879   2.0712   0.1745   0.0000  57.8856   0.1370       ML
       96   1.3838  -0.0635   0.5966   0.4197   1.5248   0.0263   0.0000 106.1000   0.4800       ML
       97   1.7965   0.2879   0.6292   0.0002   1.4781   0.1720   0.0000 106.8985   0.0900       ML
       98   0.7770   0.2875   2.3878   1.8310   0.7372  -0.1698   0.0000  81.7834   1.0150       ML
       99   1.2376   0.1381   0.8131   0.5403   1.4565   0.3382   0.0000  99.5979   0.5440       ML
