"model","n","mean_fit","mean_BIC","median_BIC","n_participants","v","t0","a","zr","sv","szr","st0","d","p"
"model10",97,110.559602061856,234.636766059682,256.678044574404,30.1818181818182,"-","-","-","0.5","0","0","0",0,0
"model11",97,107.294982474227,232.613380863081,252.37837912908,15,"-","-","-","0.5","0","0","-",0,0
"model2",96,107.825675,238.274255506698,257.385785721967,2,"C","-","-","0.5","0","0","-",0,0
"model4",96,100.843089583333,237.882827977384,260.011326127017,2,"C","C","-","0.5","-","-","-",0,0
"model5",96,103.045772916667,233.239032441371,252.753544595262,5,"C","C","-","0.5","0","0","-",0,0
"model6",96,105.528023958333,233.678953423365,253.965807434345,22,"C","C","-","0.5","0","0","0",0,0
"model7",96,100.990546875,238.177742560717,266.690271894951,2,"C","-","C","0.5","-","-","-",0,0
"model8",96,102.345826041667,231.839138691371,258.33686869362,10,"C","-","C","0.5","0","0","-",0,0
"model9",96,106.289347916667,235.201601340031,257.060497532584,8,"C","-","C","0.5","0","0","0",0,0
