  dataset        a v_mixed_gain       t0 v_mixed_loss  penalty      fit     time   method
        8   1.8722   0.0002   0.5755   0.1779   0.0000 130.9056   0.0040       ML
       81   1.9495   0.0450   0.5234  -0.0002   0.0000 145.3423   0.0030       ML
       82   1.8318   0.0391   0.3459  -0.1876   0.0000 125.9341   0.0030       ML
       83   1.8964   0.4091   0.5073   0.1404   0.0000 131.0010   0.0030       ML
       85   1.2802   0.0001   0.3923  -0.0546   0.0000  64.5976   0.0040       ML
       86   2.1758   0.1054   0.6313   0.1156   0.0000 143.5795   0.0030       ML
       87   1.8368   0.3871   0.3238   0.1940   0.0000 114.5143   0.0030       ML
       88   2.2612   0.0598   0.5126  -0.1013   0.0000 144.4975   0.0020       ML
       89   2.2303   0.1100   0.3086   0.0001   0.0000 136.6786   0.0030       ML
        9   1.7486   0.0514   0.3482  -0.0750   0.0000 117.0044   0.0040       ML
       90   0.7898  -0.0000   0.3171  -0.0003   0.0000 -31.7582   0.0040       ML
       91   1.7655   0.0503   0.5312   0.1425   0.0000 121.4160   0.0040       ML
       92   2.3428   0.0730   0.5249  -0.0003   0.0000 146.9563   0.0040       ML
       93   1.1853   0.1506   0.3148   0.0001   0.0000  55.1012   0.0040       ML
       94   2.5714  -0.1436   0.5069   0.1428   0.0000 136.5113   0.0020       ML
       95   1.5993   0.1381   0.2529   0.1216   0.0000 113.7164   0.0030       ML
       96   1.6792  -0.0575   0.4532   0.0237   0.0000 109.6291   0.0040       ML
       97   1.6577   0.2623   0.6185   0.1902   0.0000 109.8101   0.0040       ML
       98   2.2381   0.1025   1.4218  -0.0596   0.0000 101.2051   0.0020       ML
       99   1.6622   0.1192   0.6094   0.2824   0.0000 106.8360   0.0030       ML
