"model","n","mean_fit","mean_BIC","median_BIC","n_participants","v","t0","a","zr","sv","szr","st0","d","p"
"model1",48,138.42545,354.953675488198,333.494033370202,1,"C, D","-","-","0.5","-","-","-",0,0
"model10",48,161.010772916667,349.915394221975,331.488689097278,11,"D","-","-","0.5","0","0","0",0,0
"model11",48,147.385760416667,328.244138899704,325.661626818528,20,"D","-","-","0.5","0","0","-",0,0
"model12",48,145.96379375,336.557744921827,336.178335758037,2,"D","D","-","0.5","0","0","-",0,0
"model15",48,150.82003125,340.691450244099,322.387953712989,10,"D","C","-","0.5","0","0","0",0,0
"model5",48,134.95834375,348.019462988198,334.605862576565,2,"C, D","C","-","0.5","0","0","-",0,0
"model8",48,135.81925,349.741275488198,336.239062576565,2,"C, D","-","C","0.5","0","0","-",0,0
