  dataset        a v_gain_4  t0_gain v_gain_6 v_gain_2 v_mixed_2 t0_mixed v_mixed_4 v_mixed_6 v_loss_6  t0_loss v_loss_2 v_loss_4  penalty      fit     time   method
       41   2.5262   0.6836   0.6127   1.2410   0.4044   0.4968   0.4930   1.1991   1.3914   1.4344   0.6388   0.5582   1.3104   0.0000 269.3861   0.0450       ML
       42   2.1770   0.9875   0.2270   1.1526   0.6175   0.7019   0.4100   0.7384   1.4881   1.8305   0.3729   0.8032   1.1276   0.0000 249.7087   0.0410       ML
       43   3.0872   1.2897   0.5108   1.8479   0.7675   0.8939   0.6602   1.7927   1.8495   1.4851   0.5134   1.0540   1.4970   0.0000 212.1362   0.0390       ML
       44   2.3988   0.9762   0.1806   1.1400   0.7176   0.0426   0.3787   0.9551   1.4968   0.9434   0.3127   0.4876   1.0349   0.0000 292.9754   0.0460       ML
       45   1.7892   1.4028   0.6307   2.3106   0.6443   0.5893   0.5661   1.4135   1.6537   1.5853   0.5770   0.7591   1.5094   0.0000 131.3104   0.0430       ML
       46   1.8823   1.9742   0.5075   3.2232   0.9776   1.1665   0.4893   2.3734   3.7913   3.1490   0.4936   1.0902   2.5969   0.0000  -2.6542   0.0460       ML
       47   1.3293   0.3768   0.2572   0.5679  -0.1796   0.7730   0.2169   1.3817   0.5375   1.0158   0.2805   0.2412   0.5321   0.0000 118.5908   0.0180       ML
       48   1.6202   1.6596   0.4427   2.2453   1.0353   0.7182   0.4058   1.0124   1.7444   1.5969   0.5231   0.7949   1.4098   0.0000 112.3706   0.0560       ML
        5   1.8689   0.9992   0.3742   2.3657   0.4785   0.7225   0.3840   1.2595   2.1904   1.5528   0.3872   0.8199   1.9931   0.0000 147.7120   0.0430       ML
        6   1.9923   1.4601   0.4706   1.5433   0.4437   0.9040   0.4728   1.0988   1.5652   1.0076   0.4403   0.3351   0.8567   0.0000 223.4829   0.0490       ML
        7   1.1756   2.1845   0.4312   2.6581   0.6900   0.7955   0.4073   1.6501   2.2193   1.7940   0.4532   0.2456   1.8340   0.0000 -32.8837   0.0680       ML
        8   1.8523   1.2289   0.4393   1.5189   0.6057   0.6831   0.4259   1.1339   1.2404   1.5982   0.4518   1.1654   1.2721   0.0000 196.2456   0.0480       ML
        9   2.0380   2.1943   0.3677   3.2366   0.9611   1.1134   0.3856   1.7036   2.3289   1.8647   0.3623   0.7911   1.3349   0.0000  98.4397   0.0520       ML
