  dataset   a_gain v_gain_4       t0      st0 v_gain_6 v_gain_2  a_mixed v_mixed_2 v_mixed_4 v_mixed_6   a_loss v_loss_6 v_loss_2 v_loss_4  penalty      fit     time   method
        4   1.8560   1.1207   0.5946   0.4648   1.8018   0.4119   1.8781   0.7612   1.4093   2.1964   1.8642   1.4570   0.6670   1.0038   0.0000 224.2347   4.5600       ML
       40   1.9812   1.2003   0.8347   0.6038   1.8603   0.1424   1.9607   0.4417   1.1074   1.9944   1.5563   1.3352   0.2558   1.5887   0.0000 254.6859   7.8710       ML
       41   2.3522   0.7763   0.8394   0.7880   1.3850   0.4548   1.9741   0.5211   1.4520   1.7991   2.0501   1.5067   0.5776   1.4332   0.0000 262.3341   6.8590       ML
       42   1.8080   1.0821   0.4493   0.2985   1.3221   0.6750   2.1910   0.7338   0.7723   1.5988   1.8794   1.8506   0.7584   1.0739   0.0000 234.1007   5.9750       ML
       43   2.9308   1.3188   0.5983   0.2923   1.9513   0.7751   3.3748   0.9354   1.8337   1.8831   2.7941   1.4545   1.0175   1.4792   0.0000 214.8415   4.8780       ML
       44   2.1761   1.1547   0.4839   0.6892   1.4452   0.9203   2.0085   0.0407   0.9197   1.3977   2.1742   1.0079   0.5235   1.1206   0.0000 289.1312   6.8560       ML
       45   1.6619   1.5419   0.7185   0.3554   2.7496   0.7006   1.4960   0.6640   1.6096   1.9488   1.3678   1.6671   0.7924   1.6383   0.0000 115.5057   3.9400       ML
       46   1.9513   2.1390   0.5273   0.1351   3.5586   1.0450   1.6916   1.1229   2.3636   3.9727   1.6976   3.1831   1.0442   2.5848   0.0000  -4.0910   2.4410       ML
       47   1.1290   0.2850   0.2893   0.1737   0.6067  -0.4161   1.0119   0.4784   0.8521   0.1989   1.2692   1.0163   0.2477   0.5315   0.0000 109.9200   1.8220       ML
       48   1.1038   2.0310   0.6223   0.4792   2.8658   1.1463   1.2405   0.8740   1.1263   2.6398   1.5536   1.9458   0.9513   1.8568   0.0000 107.2290   5.3500       ML
        5   1.7446   0.9406   0.3806   0.0000   2.2503   0.4509   1.9869   0.7647   1.3322   2.3099   1.9206   1.5776   0.8330   2.0189   0.0000 146.0978   0.7540       ML
        6   1.6060   1.8797   0.7317   0.6731   2.1809   0.5457   1.4333   0.9998   1.2433   1.9236   1.5454   1.2559   0.3803   1.0898   0.0000 207.1583   8.1680       ML
        7   1.2544   2.4975   0.4467   0.0940   3.0647   0.7688   0.9785   0.7831   1.6060   2.2155   1.1858   1.7752   0.2432   1.7994   0.0000 -34.3343   1.3810       ML
        8   1.7782   1.1748   0.4378   0.0000   1.4529   0.5789   1.8985   0.7098   1.1848   1.2922   1.8953   1.5958   1.1655   1.2713   0.0000 196.1711   0.6790       ML
        9   1.6492   2.0098   0.4156   0.1802   3.1187   0.8448   2.3206   1.3229   2.0412   2.8085   1.9042   1.9358   0.7998   1.3456   0.0000  90.6694   2.2690       ML
