"model_variant","a","v_gain_4","t0","szr","sv","st0","v_gain_6","v_gain_2","v_mixed_2","v_mixed_4","v_mixed_6","v_loss_6","v_loss_2","v_loss_4","penalty","fit","time","BIC","v_4","v_6","v_2","t0_4","t0_6","t0_2","v_gain","v_mixed","v_loss","t0_gain","t0_mixed","t0_loss","a_gain","a_mixed","a_loss"
"model1",1.71614375,1.78815416666667,0.589802083333333,0.212785416666667,0.75801875,0.3682625,2.8897,0.952670833333333,0.871441666666667,1.77260208333333,2.57188541666667,2.3812125,1.03182708333333,1.81275208333333,0,138.42545,53.1460416666667,354.953675488198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model10",1.86426041666667,NA,0.426310416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,161.010772916667,0.0150208333333333,349.915394221975,1.20451458333333,1.6668625,0.6411125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model11",1.60009791666667,NA,0.559152083333333,NA,NA,0.33635,NA,NA,NA,NA,NA,NA,NA,NA,0,147.385760416667,1.23529166666667,328.244138899704,1.32479583333333,2.01708125,0.682595833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model12",1.59304166666667,NA,NA,NA,NA,0.318004166666667,NA,NA,NA,NA,NA,NA,NA,NA,0,145.96379375,2.16314583333333,336.557744921827,1.3190125,2.83403958333333,0.700927083333333,0.557291666666667,0.549195833333333,0.575666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model15",1.80723333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,150.82003125,0.0217083333333333,340.691450244099,1.22543541666667,1.70203958333333,0.65395625,NA,NA,NA,NA,NA,NA,0.45238125,0.466641666666667,0.4566,NA,NA,NA
"model5",1.63838958333333,1.34922708333333,NA,NA,NA,0.253160416666667,2.13017083333333,0.712116666666667,0.62995625,1.34432916666667,1.97721041666667,1.78090833333333,0.762641666666667,1.36896666666667,0,134.95834375,3.1495,348.019462988198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536222916666667,0.555216666666667,0.542922916666667,NA,NA,NA
"model8",NA,1.347175,0.54799375,NA,NA,0.30130625,2.13958958333333,0.719914583333333,0.65303125,1.36502291666667,2.00979375,1.77770833333333,0.753222916666667,1.36520208333333,0,135.81925,3.9695,349.741275488198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61099583333333,1.68937083333333,1.60977708333333
