  dataset        a v_gain_4  t0_gain      szr       sv      st0 v_gain_6 v_gain_2 v_mixed_2 t0_mixed v_mixed_4 v_mixed_6 v_loss_6  t0_loss v_loss_2 v_loss_4  penalty      fit     time   method
       37   2.0914   1.6833   1.0234   0.7333   0.0008   0.4040   2.0967   1.0356   0.8068   1.0108   2.3638   2.5867   6.2472   0.9213   4.3626   4.2733   0.0000 102.0865 202.8520       ML
       38   2.3147   0.9035   0.7052   0.0026   0.0002   0.6793   1.5093   0.4030   0.4734   1.5133   1.0783   1.9253   1.4767   1.1383   0.4012   1.0385   0.0000 266.6739  47.7350       ML
       39   2.2381   1.0382   0.5866   0.0008   0.0012   0.3212   2.5492   0.8247   0.9075   0.5432   1.1362   2.0256   2.0968   0.5101   0.8990   1.7755   0.0000 198.1531  24.3700       ML
        4   2.0163   1.2970   0.6547   0.7043   0.0007   0.4131   2.1877   0.5486   1.0193   0.6503   1.7110   2.6766   1.7249   0.6766   0.7947   1.2611   0.0000 221.1190 198.3100       ML
       40   2.0622   1.2075   0.7943   0.4638   0.1934   0.1531   1.8283   0.1579   0.4353   0.8011   1.1071   1.9730   1.2866   0.6353   0.2585   1.5176   0.0000 251.1992  52.9710       ML
       41   2.3096   0.9025   0.8852   0.0002   0.7046   0.7674   1.7791   0.6321   0.7064   0.7768   1.7834   2.0926   2.0122   0.8822   0.8484   1.8339   0.0000 261.2373  47.4260       ML
       42   2.0629   1.2698   0.3884   0.2862   0.4410   0.3396   1.4492   0.7607   0.8205   0.5198   0.8757   1.7878   2.0615   0.4392   0.8825   1.2229   0.0000 241.8919  47.7410       ML
       43   3.0928   1.3373   0.5489   0.2838   0.0020   0.0012   1.9392   0.8015   0.9303   0.6935   1.8682   1.9237   1.5224   0.5505   1.0914   1.5612   0.0000 212.0063  33.2920       ML
       44   2.2404   1.6931   0.5345   0.0040   0.9340   0.7991   1.9254   1.2185   0.1220   0.6092   1.4222   2.2730   1.6862   0.5845   0.7390   1.6917   0.0000 284.5060  38.4510       ML
       45   1.5244   2.9114   0.8847   0.0257   1.6481   0.5461   6.2596   1.4611   1.2579   0.8058   2.6053   3.2914   3.0253   0.7866   1.3871   2.7962   0.0000 113.5067  47.0020       ML
       46   1.7671   2.0451   0.5508   0.0003   0.0437   0.1485   3.5128   0.9824   1.1583   0.5203   2.4216   4.0201   3.2661   0.5236   1.0805   2.6608   0.0000  -3.4587  21.4950       ML
       47   1.1301   0.3915   0.3294   0.4496   0.6046   0.1479   0.8561  -0.5232   0.6460   0.2746   1.0174   0.2954   1.2329   0.3636   0.4134   0.7465   0.0000 105.1758  14.7940       ML
       48   1.3459   2.3406   0.5917   0.0035   1.0216   0.4638   3.3570   1.4512   0.9506   0.5810   1.4759   2.7024   2.6259   0.7271   1.2596   2.4258   0.0000 101.6142  44.6620       ML
        5   2.1492   1.7262   0.4027   0.4487   1.0367   0.0000   3.3179   0.7499   1.0155   0.4137   1.7782   3.1171   2.4200   0.4174   1.1816   2.7459   0.0000 143.1127   8.6350       ML
        6   1.5524   2.2305   0.7873   0.0592   0.6460   0.7077   2.6309   0.6341   1.1310   0.7172   1.3595   2.2348   1.4142   0.7419   0.4580   1.2515   0.0000 206.3652  56.7970       ML
        7   1.2377   3.6543   0.4832   0.2977   1.8536   0.1296   4.6592   1.1657   1.2118   0.4381   2.7715   3.5793   2.7376   0.4861   0.5303   2.7364   0.0000 -39.3024  24.4600       ML
        8   1.9408   1.4130   0.4369   0.0003   0.5955   0.0000   1.8219   0.6601   0.7871   0.4256   1.4238   1.5586   1.8004   0.4486   1.2909   1.3999   0.0000 195.1034   6.8910       ML
        9   1.9594   2.4116   0.4139   0.3786   0.0017   0.1574   3.5824   1.0092   1.2143   0.4557   1.8697   2.6032   2.0657   0.4296   0.8615   1.4156   0.0000  95.2738  83.3150       ML
