  dataset   a_gain v_gain_4       t0      szr       sv      st0 v_gain_6 v_gain_2  a_mixed v_mixed_2 v_mixed_4 v_mixed_6   a_loss v_loss_6 v_loss_2 v_loss_4  penalty      fit     time   method
       37   2.3055   1.6573   0.9551   0.4379   0.0006   0.3911   2.0455   1.0235   2.0221   0.6941   2.0350   2.2652   1.1166   4.4307   2.8298   2.7471   0.0000  91.2181 111.4130       ML
       38   1.8934   0.9757   0.9811   0.0001   0.0020   0.8964   1.7331   0.4170   3.3246   0.4434   0.9960   1.5595   2.7571   1.4946   0.4268   1.0707   0.0000 290.8425  41.6140       ML
       39   2.3946   1.0594   0.5451   0.0001   0.0008   0.3186   2.5081   0.8468   2.2471   0.9142   1.1424   2.0392   2.0727   2.0658   0.8671   1.7468   0.0000 198.3365  32.2570       ML
        4   1.9890   1.2855   0.6555   0.6862   0.0019   0.4249   2.1652   0.5385   2.0618   1.0366   1.7538   2.7533   2.0011   1.6771   0.7745   1.2240   0.0000 221.2463 190.6480       ML
       40   2.2557   1.3502   0.7863   0.5240   0.3478   0.2696   2.0171   0.1887   2.1886   0.4598   1.1858   2.0982   1.7194   1.3304   0.2591   1.6036   0.0000 254.5183 135.5940       ML
       41   2.5634   0.9907   0.8571   0.0147   0.6957   0.8151   1.8391   0.6761   2.0916   0.7423   1.8376   2.1951   2.1670   1.8594   0.8113   1.6968   0.0000 260.7188  64.1300       ML
       42   1.8433   1.1572   0.4568   0.1891   0.4531   0.3127   1.4265   0.6921   2.2904   0.8515   0.9018   1.7876   1.9245   2.0038   0.8335   1.2123   0.0000 233.8542  42.9250       ML
       43   2.9324   1.3256   0.5996   0.0022   0.0045   0.2973   1.9533   0.7798   3.3714   0.9375   1.8338   1.8846   2.7900   1.4516   1.0172   1.4777   0.0000 214.8428  34.3240       ML
       44   2.4471   1.2624   0.3699   0.0020   0.5379   0.2087   1.5660   0.9551   2.3340   0.0582   1.0170   1.6310   2.4649   1.1986   0.5878   1.2975   0.0000 279.6410  30.6860       ML
       45   1.7877   1.9969   0.7333   0.0002   0.8979   0.3863   3.2663   0.9939   1.5623   0.9060   1.9623   2.3967   1.4200   2.1008   1.0099   1.9715   0.0000 113.8382  27.6630       ML
       46   1.9515   2.1348   0.5271   0.0003   0.0073   0.1347   3.5571   1.0458   1.6932   1.1247   2.3649   3.9696   1.6980   3.1807   1.0405   2.5850   0.0000  -4.0907  19.1010       ML
       47   1.3045   0.6406   0.3505   0.8672   1.7368   0.2203   1.3607  -0.9900   1.1338   0.7207   1.5994   0.7098   1.4780   1.9996   0.6418   1.2466   0.0000 107.7841 143.8890       ML
       48   1.1227   2.1936   0.6260   0.0003   0.7033   0.4831   3.1367   1.2873   1.2649   0.9495   1.3501   2.8503   1.6211   2.2361   1.0985   2.0335   0.0000 106.9538  48.6520       ML
        5   2.0456   1.6160   0.3984   0.4161   1.0579   0.0001   3.0592   0.6758   2.4451   1.1440   1.9790   3.3741   2.3386   2.5403   1.1114   2.7628   0.0000 141.7125   5.5850       ML
        6   1.6653   2.2927   0.7579   0.2694   0.7363   0.6989   2.6468   0.6537   1.4618   1.1897   1.4382   2.3766   1.5930   1.5257   0.4901   1.3458   0.0000 206.7409 108.9990       ML
        7   1.4212   3.4836   0.4547   0.0005   1.5979   0.1179   4.3559   1.1276   1.0443   1.0820   2.4711   3.2328   1.3024   2.4169   0.4762   2.4320   0.0000 -38.8192  13.8170       ML
        8   1.8652   1.3611   0.4355   0.0004   0.6139   0.0000   1.7577   0.6334   2.0101   0.8296   1.5118   1.6549   1.9797   1.7951   1.2921   1.3993   0.0000 194.9115   6.7510       ML
        9   1.6423   2.3349   0.4576   0.5902   0.0003   0.1554   3.4912   0.9326   2.7120   1.7352   2.5835   3.5283   2.0788   2.3370   0.9843   1.5706   0.0000  88.6925  73.3470       ML
