model;v;t0;a;zr;sv;szr;st0;d;p
1;C, D;-;-;0.5;-;-;-;0;0
2;C, D;-;-;0.5;0;0;-;0;0
3;C, D;-;-;0.5;0;0;0;0;0
4;C, D;C;-;0.5;-;-;-;0;0
5;C, D;C;-;0.5;0;0;-;0;0
6;C, D;C;-;0.5;0;0;0;0;0
7;C, D;-;C;0.5;-;-;-;0;0
8;C, D;-;C;0.5;0;0;-;0;0
9;C, D;-;C;0.5;0;0;0;0;0
10;D;-;-;0.5;0;0;0;0;0
11;D;-;-;0.5;0;0;-;0;0
12;D;D;-;0.5;0;0;-;0;0
13;D;D;-;0.5;0;0;0;0;0
14;C;-;-;0.5;0;0;0;0;0
15;D;C;-;0.5;0;0;0;0;0
